AGE,EDUCATION,REVOKED,CLM_AMT,CAR_AGE,driverExperience,licenceType
49,High School,No,103,8,29,Full
50,Bachelor,No,96,13,30,Full
58,Bachelor,Yes,91,15,41,Full
56,Bachelor,No,101,9,36,Full
37,High School,Yes,103,1,16,Full
46,Masters,Yes,111,19,26,Full
41,Masters,No,292,5,23,Full
45,Masters,No,102,15,27,Full
53,High School,No,95,10,37,Full
51,Bachelor,No,96,14,30,Full
51,High School,No,6431,11,35,Full
33,Bachelor,No,109,10,16,Full
43,Masters,No,102,16,26,Full
47,Bachelor,No,101,12,30,Full
55,Bachelor,No,105,4,38,Full
43,Masters,No,108,13,23,Full
38,High School,No,9388,1,22,Full
51,Masters,No,785,19,29,Full
36,Masters,No,93,16,19,Full
31,High School,No,4229,6,13,Full
38,Bachelor,No,105,5,18,Full
47,Masters,No,101,13,31,Full
36,High School,No,99,1,15,Full
38,Masters,No,103,15,18,Full
43,Masters,No,101,15,24,Full
41,Bachelor,No,96,12,24,Full
50,High School,No,128,1,32,Full
53,Masters,No,98,13,32,Full
46,High School,Yes,5120,1,30,Full
55,PhD,No,102,8,35,Full
63,High School,No,105,1,47,Full
40,PhD,No,6767,25,21,Full
35,Bachelor,No,109,1,17,Full
55,Bachelor,No,107,7,34,Full
38,High School,No,105,1,16,Full
60,Masters,No,113,20,40,Full
29,High School,Yes,6464,1,8,Full
48,Masters,No,106,16,29,Full
58,PhD,No,89,17,40,Full
40,Bachelor,No,113,1,23,Full
43,Masters,No,6515,13,27,Full
40,High School,No,109,1,18,Full
47,Masters,No,99,15,28,Full
42,High School,Yes,96,12,21,Full
48,High School,No,103,6,27,Full
47,High School,No,111,1,31,Full
46,Masters,No,102,16,30,Full
52,High School,No,108,1,33,Full
44,Bachelor,No,114,14,25,Full
31,High School,No,112,1,11,Full
52,High School,No,109,1,34,Full
51,Bachelor,No,101,6,29,Full
35,Bachelor,Yes,3840,9,14,Full
49,High School,No,2527,1,32,Full
53,PhD,No,97,11,35,Full
31,High School,No,19970,1,10,Full
50,High School,No,110,8,28,Full
48,High School,No,113,1,27,Full
51,High School,No,108,1,29,Full
53,Masters,No,101,18,36,Full
54,Bachelor,No,110,1,37,Full
47,Bachelor,No,108,12,25,Full
43,High School,No,6879,12,23,Full
48,High School,No,96,1,26,Full
38,PhD,No,97,14,20,Full
30,High School,No,111,6,11,Full
45,PhD,No,102,14,29,Full
37,High School,Yes,1499,1,16,Full
43,Masters,Yes,104,19,23,Full
43,Bachelor,No,104,1,23,Full
51,Masters,No,3291,8,31,Full
56,Bachelor,No,119,13,37,Full
28,Bachelor,No,91,9,7,Full
44,Bachelor,No,6170,10,22,Full
42,High School,Yes,4236,1,26,Full
27,High School,Yes,8107,1,10,Full
46,PhD,No,97,10,25,Full
43,High School,No,107,1,24,Full
47,Masters,Yes,94,9,29,Full
34,Bachelor,No,106,13,16,Full
33,High School,Yes,91,1,14,Full
48,High School,No,107,1,28,Full
59,PhD,No,99,10,40,Full
55,High School,No,109,7,34,Full
44,Masters,No,6111,16,22,Full
39,High School,No,99,1,23,Full
37,High School,No,3514,5,16,Full
45,Bachelor,No,98,6,28,Full
35,High School,No,114,1,13,Full
60,PhD,No,5342,11,43,Full
46,High School,No,5488,7,29,Full
57,Bachelor,No,96,10,35,Full
49,High School,No,116,5,28,Full
28,High School,No,114,1,11,Full
53,Bachelor,No,97,11,33,Full
37,High School,No,5027,1,16,Full
45,Masters,No,100,10,23,Full
47,Masters,No,100,9,26,Full
40,Bachelor,No,96,12,22,Full
45,Bachelor,No,89,8,27,Full
58,Bachelor,No,100,8,39,Full
48,High School,No,94,1,31,Full
46,High School,No,98,7,28,Full
32,High School,No,104,5,16,Full
54,High School,No,98,1,32,Full
51,Bachelor,No,103,8,32,Full
48,Bachelor,No,96,10,28,Full
39,Bachelor,No,104,1,21,Full
42,High School,Yes,3674,1,25,Full
53,Masters,No,105,18,31,Full
39,High School,No,105,1,17,Full
44,High School,No,107,8,22,Full
56,Bachelor,No,99,9,36,Full
49,Masters,Yes,97,17,33,Full
43,High School,No,110,4,27,Full
46,Bachelor,No,3180,10,30,Full
37,Bachelor,No,3439,12,17,Full
33,High School,No,116,6,12,Full
37,High School,No,97,6,19,Full
22,High School,No,5430,1,4,P2
44,Masters,No,108,18,23,Full
55,Bachelor,No,104,9,34,Full
60,High School,No,3736,1,43,Full
36,High School,Yes,92,1,15,Full
60,Masters,No,104,19,40,Full
53,PhD,No,103,15,35,Full
45,Bachelor,No,114,13,24,Full
43,High School,No,106,1,24,Full
43,PhD,No,111,1,26,Full
49,High School,No,3140,7,31,Full
36,High School,No,4482,7,17,Full
50,High School,No,110,1,33,Full
64,Bachelor,No,4278,9,48,Full
56,High School,No,97,7,40,Full
41,High School,No,5576,1,22,Full
42,High School,No,105,9,26,Full
47,High School,No,243,11,28,Full
60,Bachelor,No,103,12,43,Full
45,Bachelor,No,110,7,27,Full
53,Bachelor,No,95,10,36,Full
51,High School,No,90,8,32,Full
49,High School,No,20883,1,27,Full
53,High School,No,111,1,33,Full
55,Masters,No,114,1,35,Full
52,Masters,No,95,11,30,Full
45,PhD,Yes,106,13,24,Full
41,Bachelor,No,113,1,20,Full
45,High School,No,2610,6,24,Full
36,Masters,No,104,15,17,Full
32,High School,No,5692,7,16,Full
65,High School,No,104,1,46,Full
43,High School,No,92,8,22,Full
44,PhD,No,109,15,26,Full
49,Bachelor,No,4246,9,32,Full
41,Masters,No,94,20,22,Full
35,Masters,No,107,9,14,Full
41,Bachelor,No,98,13,19,Full
56,Bachelor,No,98,9,38,Full
35,Bachelor,No,111,7,15,Full
51,Masters,No,100,13,32,Full
43,PhD,No,101,11,27,Full
41,PhD,No,101,11,20,Full
56,Bachelor,No,97,11,37,Full
37,Masters,No,93,17,16,Full
40,Bachelor,No,103,1,20,Full
41,PhD,No,96,11,20,Full
45,High School,No,95,8,24,Full
57,PhD,No,95,11,39,Full
64,Bachelor,Yes,6316,11,45,Full
36,Masters,No,94,8,17,Full
50,High School,No,3124,1,29,Full
38,High School,No,100,6,16,Full
28,High School,Yes,104,1,12,Full
38,High School,No,108,4,19,Full
57,Masters,Yes,105,12,40,Full
58,Masters,No,103,13,36,Full
49,PhD,No,98,22,27,Full
51,High School,No,2235,1,32,Full
41,Masters,Yes,1187,8,23,Full
49,High School,No,97,11,27,Full
62,Masters,No,104,12,45,Full
56,Bachelor,No,295,12,40,Full
45,Masters,No,1283,17,27,Full
31,High School,No,4550,1,15,Full
46,PhD,No,93,13,24,Full
57,High School,Yes,90,9,35,Full
53,Masters,No,3149,13,31,Full
55,High School,No,101,9,36,Full
39,Bachelor,No,103,11,20,Full
44,PhD,No,99,16,25,Full
48,PhD,Yes,116,1,28,Full
47,Masters,No,109,22,27,Full
27,High School,No,102,7,7,Full
47,Bachelor,No,4719,8,30,Full
53,High School,Yes,3611,8,33,Full
48,High School,No,4849,11,27,Full
42,Masters,No,7084,14,21,Full
55,Bachelor,No,103,11,36,Full
30,High School,No,115,6,11,Full
47,Bachelor,No,98,10,31,Full
52,High School,Yes,1131,1,34,Full
41,PhD,No,97,12,23,Full
42,Masters,No,104,15,25,Full
32,High School,No,107,1,14,Full
27,Bachelor,No,98,7,5,Full
45,Bachelor,Yes,4361,12,28,Full
38,High School,No,596,1,22,Full
53,Bachelor,No,7990,9,34,Full
34,Bachelor,Yes,108,1,15,Full
46,PhD,No,93,10,29,Full
39,Bachelor,No,107,10,19,Full
39,Bachelor,No,89,11,23,Full
36,Masters,No,113,9,15,Full
51,High School,Yes,97,11,32,Full
41,PhD,No,102,13,22,Full
55,Masters,Yes,103,9,33,Full
27,High School,No,4446,7,11,Full
36,High School,No,96,7,15,Full
48,Masters,No,2115,18,27,Full
40,Bachelor,No,90,8,23,Full
40,High School,No,3007,1,20,Full
41,Bachelor,No,112,11,19,Full
36,Masters,No,93,20,14,Full
51,Masters,No,3725,19,34,Full
33,Masters,No,99,17,17,Full
56,Bachelor,No,108,12,38,Full
56,PhD,No,105,10,39,Full
39,Bachelor,No,99,12,21,Full
54,High School,No,104,4,32,Full
35,Bachelor,No,92,10,19,Full
57,Masters,No,105,16,36,Full
43,Bachelor,No,108,9,25,Full
41,Bachelor,No,112,11,22,Full
57,Bachelor,No,103,11,39,Full
47,Bachelor,No,96,13,27,Full
38,Bachelor,No,110,14,18,Full
56,Masters,No,99,15,34,Full
39,Masters,No,100,15,23,Full
47,High School,No,112,1,27,Full
57,High School,No,2551,7,36,Full
45,Bachelor,No,131,2,24,Full
38,High School,No,1206,6,16,Full
35,High School,No,101,6,17,Full
41,High School,No,120,1,19,Full
48,Bachelor,No,100,7,29,Full
54,Masters,No,108,15,38,Full
25,High School,Yes,3748,8,8,Full
53,Masters,No,112,15,34,Full
35,Bachelor,No,113,8,13,Full
36,High School,No,112,1,19,Full
39,High School,No,94,1,23,Full
49,High School,No,100,8,32,Full
44,PhD,No,99,17,25,Full
50,Masters,No,104,10,30,Full
57,PhD,No,87,10,35,Full
31,Bachelor,No,4125,9,15,Full
61,High School,No,89,9,41,Full
50,Masters,No,4519,12,30,Full
57,PhD,No,99,14,37,Full
49,PhD,No,99,14,30,Full
48,Masters,No,104,18,26,Full
41,Masters,No,39729,7,20,Full
52,PhD,No,18461,11,30,Full
36,Masters,No,1760,17,18,Full
52,High School,No,4370,7,32,Full
46,Masters,No,3993,15,28,Full
39,PhD,No,100,19,23,Full
28,Bachelor,No,98,12,11,Full
47,Masters,Yes,98,18,27,Full
39,Masters,No,97,16,18,Full
63,High School,No,19668,9,45,Full
53,Bachelor,No,6804,1,37,Full
53,PhD,No,112,13,34,Full
51,PhD,No,96,12,30,Full
43,High School,No,2660,1,21,Full
49,High School,No,98,6,28,Full
51,High School,No,113,12,35,Full
41,High School,No,125,7,22,Full
67,High School,Yes,8641,1,50,Full
39,High School,No,8843,10,22,Full
34,High School,No,2091,1,13,Full
54,Bachelor,No,106,11,36,Full
37,High School,No,109,7,18,Full
45,Bachelor,No,99,9,26,Full
54,Masters,No,112,1,33,Full
42,Masters,No,90,16,25,Full
33,High School,No,108,8,12,Full
50,Bachelor,No,112,1,29,Full
43,Masters,No,116,15,27,Full
35,High School,No,2186,1,19,Full
46,Bachelor,No,109,8,28,Full
53,Masters,Yes,104,15,36,Full
53,High School,No,103,1,31,Full
49,High School,No,94,8,32,Full
34,Bachelor,No,97,8,14,Full
44,Masters,No,110,14,23,Full
51,Masters,No,112,5,33,Full
41,Bachelor,No,3404,13,24,Full
47,High School,No,89,10,27,Full
59,High School,No,107,7,40,Full
40,High School,No,108,1,18,Full
46,Bachelor,No,103,7,25,Full
47,Masters,No,104,11,27,Full
44,Masters,No,4267,11,27,Full
49,Masters,No,101,17,33,Full
37,High School,Yes,8812,11,19,Full
34,High School,No,2635,9,15,Full
47,Masters,No,101,7,25,Full
49,Masters,No,107,17,28,Full
34,High School,No,115,1,18,Full
43,Bachelor,No,101,9,25,Full
58,PhD,No,101,14,39,Full
50,High School,No,99,12,31,Full
54,High School,No,115,1,33,Full
39,High School,No,100,12,18,Full
40,Bachelor,No,91,14,23,Full
37,High School,Yes,1941,7,17,Full
52,Masters,No,107,21,31,Full
46,High School,No,3501,1,30,Full
34,High School,No,116,1,13,Full
51,Bachelor,No,100,15,31,Full
53,Masters,Yes,99,10,36,Full
47,Masters,No,107,12,30,Full
53,High School,No,102,5,37,Full
42,Masters,No,100,15,20,Full
43,High School,No,98,3,24,Full
36,High School,Yes,101,7,18,Full
39,High School,No,4056,1,17,Full
50,PhD,No,109,22,31,Full
47,High School,Yes,3846,1,27,Full
44,Bachelor,No,104,6,22,Full
44,High School,No,103,1,23,Full
38,Bachelor,No,6787,11,22,Full
30,Masters,No,107,15,8,Full
48,High School,Yes,4715,9,31,Full
36,High School,Yes,810,1,15,Full
38,Masters,No,94,15,19,Full
58,High School,Yes,3776,8,42,Full
61,Masters,No,104,19,43,Full
42,PhD,No,102,10,21,Full
39,Bachelor,No,2597,8,17,Full
50,Bachelor,No,125,1,33,Full
37,High School,No,4052,1,18,Full
46,High School,No,92,8,29,Full
29,High School,No,108,5,9,Full
43,Bachelor,No,102,11,25,Full
52,Masters,No,107,13,31,Full
42,Masters,No,103,13,24,Full
49,Bachelor,No,102,1,31,Full
52,Masters,No,107,6,30,Full
60,Bachelor,No,101,8,40,Full
44,Bachelor,No,106,4,25,Full
55,High School,Yes,100,5,34,Full
44,Bachelor,No,104,11,25,Full
42,High School,Yes,6932,1,20,Full
38,High School,No,98,1,19,Full
38,Bachelor,No,104,10,19,Full
34,Masters,Yes,3066,1,15,Full
54,High School,No,105,8,38,Full
63,Masters,No,94,15,41,Full
45,PhD,No,95,9,25,Full
36,High School,No,99,6,18,Full
49,Masters,No,5453,18,30,Full
26,High School,No,3581,1,7,Full
59,Bachelor,No,101,11,41,Full
46,Masters,No,2843,21,28,Full
49,Bachelor,Yes,107,9,33,Full
35,Bachelor,No,104,11,15,Full
46,High School,No,100,11,29,Full
42,High School,No,97,1,21,Full
27,High School,No,9117,10,11,Full
47,High School,No,2641,1,30,Full
40,Bachelor,No,96,11,24,Full
50,Masters,No,99,13,30,Full
49,Bachelor,No,97,12,29,Full
45,Bachelor,No,97,10,28,Full
34,High School,No,98,6,12,Full
39,Masters,No,96,9,20,Full
47,Bachelor,No,6027,2,26,Full
59,Bachelor,No,98,10,40,Full
48,PhD,No,99,11,29,Full
45,Bachelor,No,102,9,23,Full
43,Masters,No,96,14,26,Full
45,High School,No,1379,1,26,Full
52,Masters,No,91,12,34,Full
49,High School,No,93,5,31,Full
49,Masters,No,103,10,29,Full
57,High School,Yes,107,1,40,Full
44,High School,No,98,8,25,Full
39,Masters,No,92,21,21,Full
32,PhD,No,113,10,13,Full
45,High School,No,104,1,24,Full
41,High School,No,5525,1,25,Full
60,PhD,No,99,13,41,Full
47,PhD,No,101,9,27,Full
36,Masters,No,110,14,14,Full
45,Bachelor,Yes,108,3,29,Full
33,High School,No,102,1,16,Full
41,Bachelor,No,5745,10,22,Full
42,High School,No,100,10,23,Full
58,Masters,No,98,12,42,Full
39,High School,No,101,1,19,Full
33,High School,No,96,8,13,Full
37,High School,No,98,9,17,Full
59,High School,No,110,1,38,Full
53,High School,No,13003,4,36,Full
37,High School,No,116,7,15,Full
53,Masters,No,112,12,37,Full
41,Bachelor,No,110,7,19,Full
43,High School,No,93,1,25,Full
39,High School,No,112,1,22,Full
44,High School,No,105,1,24,Full
62,High School,No,109,6,42,Full
40,Masters,Yes,108,1,21,Full
58,High School,Yes,5185,1,37,Full
48,PhD,No,99,17,27,Full
32,Masters,No,104,11,15,Full
33,High School,No,3161,13,17,Full
49,High School,No,94,12,27,Full
36,High School,No,5013,1,14,Full
49,High School,No,119,6,29,Full
56,Bachelor,No,95,15,38,Full
53,Masters,No,109,16,34,Full
30,Bachelor,Yes,99,7,14,Full
39,Bachelor,Yes,2519,11,23,Full
37,Masters,No,5150,16,16,Full
51,Bachelor,No,95,10,35,Full
59,High School,No,100,9,38,Full
42,Masters,No,109,14,21,Full
51,Bachelor,No,95,11,29,Full
31,High School,No,110,1,10,Full
26,High School,No,3953,1,7,Full
54,Masters,No,10106,17,36,Full
51,High School,No,93,11,31,Full
57,Masters,No,5061,4,38,Full
44,High School,No,105,6,25,Full
40,High School,No,3207,7,22,Full
16,High School,No,113,7,-6,Ls
34,High School,Yes,117,1,12,Full
52,Masters,No,2489,17,36,Full
36,Masters,No,97,11,16,Full
37,Bachelor,Yes,93,10,20,Full
38,Masters,No,1306,10,22,Full
39,High School,No,110,9,18,Full
32,Bachelor,No,112,11,16,Full
61,PhD,No,106,12,43,Full
46,Masters,No,98,12,29,Full
40,Masters,No,2737,20,20,Full
50,High School,No,96,8,30,Full
45,Bachelor,No,2836,10,25,Full
35,High School,No,109,1,17,Full
51,Bachelor,No,97,14,30,Full
43,Bachelor,Yes,99,11,26,Full
34,Masters,No,96,12,17,Full
50,PhD,No,101,14,34,Full
33,High School,Yes,89,7,12,Full
49,Bachelor,No,97,9,30,Full
43,PhD,No,103,9,26,Full
41,Bachelor,No,5387,11,21,Full
35,High School,No,110,6,15,Full
46,Bachelor,No,120,1,27,Full
43,Bachelor,No,2506,7,24,Full
34,High School,No,92,7,18,Full
40,High School,No,1155,1,24,Full
33,High School,Yes,5867,9,11,Full
33,High School,No,108,8,15,Full
36,Bachelor,No,101,10,15,Full
36,High School,Yes,3455,1,14,Full
51,Masters,No,99,15,31,Full
50,High School,No,91,8,32,Full
55,High School,No,6855,5,35,Full
29,PhD,No,109,10,11,Full
36,High School,No,107,1,20,Full
47,High School,No,110,1,30,Full
52,Bachelor,No,106,1,31,Full
46,Bachelor,No,121,3,24,Full
34,Bachelor,Yes,854,1,15,Full
48,Masters,No,100,17,28,Full
45,Bachelor,No,103,8,24,Full
57,Bachelor,No,95,13,41,Full
45,Bachelor,No,96,9,23,Full
63,Masters,Yes,4314,17,47,Full
42,High School,No,5727,9,26,Full
66,Masters,No,101,10,48,Full
54,Bachelor,No,98,8,33,Full
52,High School,Yes,531,9,33,Full
47,High School,No,99,1,25,Full
42,Bachelor,Yes,23805,10,26,Full
50,High School,No,103,5,32,Full
40,High School,Yes,102,10,18,Full
43,PhD,No,2360,15,27,Full
40,High School,No,92,10,22,Full
45,High School,No,101,3,24,Full
37,High School,No,6480,1,20,Full
49,Masters,No,98,13,31,Full
44,Bachelor,Yes,95,11,24,Full
45,Masters,No,99,21,26,Full
33,Bachelor,No,2206,8,15,Full
43,Bachelor,No,99,9,24,Full
38,High School,No,104,4,20,Full
51,Bachelor,No,96,5,32,Full
39,High School,No,110,1,18,Full
48,Bachelor,No,5021,12,31,Full
34,Bachelor,No,103,5,14,Full
34,Bachelor,No,99,15,14,Full
59,PhD,No,98,14,39,Full
50,Masters,No,100,8,28,Full
53,PhD,No,3857,17,31,Full
53,High School,No,100,4,35,Full
54,Masters,No,2729,15,32,Full
30,High School,No,114,5,10,Full
51,Masters,No,103,16,35,Full
39,Bachelor,No,1076,1,23,Full
58,PhD,No,95,19,36,Full
35,High School,No,108,6,13,Full
46,Masters,No,3257,18,26,Full
35,High School,No,101,5,14,Full
42,Bachelor,No,6995,14,22,Full
41,Bachelor,Yes,102,6,23,Full
52,Bachelor,No,105,14,30,Full
34,High School,No,107,1,14,Full
41,High School,No,108,1,22,Full
39,Masters,No,8876,4,18,Full
37,Bachelor,No,105,11,20,Full
51,PhD,Yes,4896,17,33,Full
55,Bachelor,No,2517,5,37,Full
42,High School,Yes,2513,1,20,Full
41,Bachelor,No,113,14,25,Full
28,Bachelor,No,102,13,10,Full
36,High School,No,103,7,18,Full
46,High School,No,3273,8,24,Full
45,Masters,No,102,14,28,Full
53,Masters,No,97,19,32,Full
36,High School,Yes,4148,12,17,Full
51,Masters,No,98,19,29,Full
37,High School,No,112,7,20,Full
61,High School,No,94,7,40,Full
49,High School,No,97,8,28,Full
55,Bachelor,No,1441,1,34,Full
34,Bachelor,No,100,8,15,Full
29,Bachelor,No,6647,9,13,Full
46,Masters,No,103,20,25,Full
43,Bachelor,No,102,11,26,Full
55,Masters,No,108,14,38,Full
36,Bachelor,Yes,5211,1,19,Full
42,Masters,No,14585,13,22,Full
41,High School,No,90,14,21,Full
55,Bachelor,No,114,10,33,Full
35,High School,No,96,9,14,Full
36,Masters,No,91,16,19,Full
48,High School,No,106,7,30,Full
57,High School,No,91,1,41,Full
53,High School,Yes,109,1,35,Full
38,Masters,Yes,96,14,22,Full
42,Masters,No,7801,12,20,Full
38,High School,No,111,1,16,Full
56,Bachelor,Yes,115,13,35,Full
44,Bachelor,No,99,11,22,Full
56,High School,No,99,10,40,Full
34,Bachelor,Yes,95,9,14,Full
37,High School,No,127,1,15,Full
47,PhD,No,104,14,31,Full
16,Bachelor,No,4566,10,-6,Ls
28,Masters,No,101,8,11,Full
64,Masters,No,110,1,47,Full
48,High School,Yes,8727,8,27,Full
47,PhD,No,95,16,26,Full
40,Bachelor,Yes,101,6,18,Full
48,PhD,No,95,17,32,Full
35,Masters,Yes,100,15,13,Full
17,High School,No,17001,1,-3,Ls
49,High School,No,3667,5,31,Full
36,High School,No,16678,7,16,Full
59,PhD,No,101,8,39,Full
43,PhD,No,5005,12,25,Full
53,PhD,No,105,7,36,Full
31,Bachelor,Yes,3005,1,9,Full
55,Bachelor,No,102,14,34,Full
47,Masters,Yes,3456,10,25,Full
48,Masters,No,98,12,29,Full
46,High School,No,3261,8,26,Full
41,PhD,No,91,9,24,Full
53,Masters,No,95,17,37,Full
53,Masters,No,98,7,33,Full
45,Bachelor,No,6978,1,25,Full
47,High School,No,4933,1,25,Full
50,Bachelor,No,110,7,34,Full
55,High School,No,90,10,36,Full
46,Bachelor,No,101,8,27,Full
38,High School,No,2297,10,20,Full
38,High School,No,107,7,17,Full
34,Bachelor,No,101,14,18,Full
46,High School,No,102,6,29,Full
50,Bachelor,No,2665,5,33,Full
35,Bachelor,Yes,82,9,16,Full
48,High School,Yes,91,11,30,Full
48,High School,No,111,1,27,Full
58,Masters,Yes,96,13,40,Full
58,PhD,Yes,111,18,36,Full
32,High School,No,116,6,15,Full
51,High School,No,502,1,30,Full
35,Masters,Yes,105,17,14,Full
41,Bachelor,No,93,14,19,Full
42,Masters,No,100,17,24,Full
39,High School,No,119,1,18,Full
49,Bachelor,No,108,8,30,Full
56,Masters,No,99,17,37,Full
81,Bachelor,No,102,6,63,Full
34,Bachelor,No,4234,5,15,Full
36,Bachelor,Yes,100,7,15,Full
32,High School,No,119,1,10,Full
37,High School,Yes,93,5,18,Full
36,PhD,No,107,14,18,Full
44,High School,No,111,1,25,Full
50,High School,No,9136,9,34,Full
33,High School,No,111,1,14,Full
43,Masters,No,97,11,23,Full
55,PhD,Yes,95,12,38,Full
40,PhD,No,94,14,24,Full
37,High School,No,100,8,19,Full
44,High School,No,99,8,27,Full
46,Masters,No,99,13,26,Full
51,High School,No,2854,1,34,Full
45,High School,No,120,4,26,Full
46,Masters,No,98,16,29,Full
41,High School,Yes,3585,1,23,Full
47,Masters,No,102,14,28,Full
40,High School,No,99,1,21,Full
40,Bachelor,No,1763,13,20,Full
42,Masters,No,97,11,20,Full
45,Masters,No,96,17,24,Full
49,Bachelor,No,102,11,32,Full
35,Bachelor,No,111,1,14,Full
41,Bachelor,No,109,3,21,Full
41,High School,No,3340,7,19,Full
56,High School,No,104,7,37,Full
46,Bachelor,No,107,7,27,Full
37,High School,No,98,1,15,Full
60,Bachelor,No,3365,11,40,Full
44,High School,Yes,4926,5,22,Full
39,High School,No,122,1,20,Full
41,High School,No,3292,12,19,Full
42,High School,No,115,1,21,Full
31,High School,No,101,1,10,Full
37,High School,No,95,7,20,Full
41,PhD,Yes,100,14,25,Full
42,High School,No,108,1,21,Full
34,High School,No,95,1,12,Full
31,High School,No,18323,6,11,Full
40,Bachelor,No,104,7,22,Full
51,High School,No,978,1,35,Full
34,High School,No,120,5,16,Full
34,High School,No,106,9,15,Full
37,High School,No,6780,8,21,Full
37,High School,No,73783,7,18,Full
47,Masters,No,112,15,28,Full
46,Masters,Yes,98,17,24,Full
48,Masters,No,3901,23,27,Full
33,High School,No,110,8,13,Full
42,Masters,No,102,15,20,Full
38,High School,No,105,1,16,Full
30,High School,Yes,980,8,12,Full
48,High School,No,109,1,26,Full
37,Bachelor,No,94,9,16,Full
53,Bachelor,Yes,7385,12,36,Full
43,High School,No,110,1,23,Full
60,PhD,No,99,13,40,Full
41,Bachelor,No,110,1,23,Full
43,Bachelor,Yes,6003,4,23,Full
40,High School,No,102,1,22,Full
57,Bachelor,No,109,12,37,Full
52,High School,Yes,4174,1,36,Full
38,Bachelor,No,5301,9,20,Full
52,Masters,No,98,10,35,Full
53,Bachelor,Yes,97,9,31,Full
44,Masters,No,103,14,23,Full
49,High School,No,105,1,29,Full
26,Bachelor,No,96,10,5,Full
43,Masters,No,4389,6,21,Full
45,High School,No,7136,1,29,Full
54,Bachelor,No,100,8,33,Full
41,High School,No,90,9,24,Full
54,PhD,No,115,5,32,Full
29,Bachelor,No,2574,13,9,Full
41,Bachelor,No,104,6,21,Full
31,High School,No,105,1,10,Full
47,High School,No,102,4,26,Full
43,Masters,No,99,18,22,Full
36,High School,No,4042,8,17,Full
42,Masters,Yes,4930,12,22,Full
53,PhD,No,98,14,36,Full
33,Bachelor,No,96,8,16,Full
37,High School,No,113,4,21,Full
53,PhD,No,1030,1,34,Full
52,High School,No,108,1,36,Full
38,High School,No,110,1,16,Full
49,High School,Yes,98,5,33,Full
27,Masters,No,107,10,7,Full
45,High School,No,106,6,23,Full
51,Bachelor,Yes,97,17,35,Full
33,High School,Yes,8363,8,15,Full
44,Masters,No,100,9,25,Full
45,Masters,No,106,12,25,Full
50,High School,No,98,6,32,Full
46,High School,Yes,104,8,29,Full
38,High School,No,113,4,19,Full
38,High School,No,106,1,21,Full
31,Bachelor,No,100,1,10,Full
33,High School,No,4979,1,11,Full
54,Masters,No,98,12,37,Full
48,High School,No,120,7,28,Full
52,Masters,No,107,12,34,Full
38,High School,No,50818,1,19,Full
47,High School,Yes,102,3,27,Full
48,Bachelor,No,97,11,32,Full
31,High School,No,2877,1,12,Full
49,Bachelor,No,5704,16,29,Full
38,High School,No,5853,1,19,Full
57,High School,No,6035,1,38,Full
40,High School,No,100,1,18,Full
40,High School,No,6156,1,20,Full
50,Masters,No,93,17,33,Full
43,High School,No,113,1,21,Full
48,Masters,No,103,12,31,Full
34,Bachelor,No,5252,10,12,Full
54,PhD,No,98,22,34,Full
45,Masters,No,108,13,26,Full
33,High School,No,96,8,16,Full
40,Bachelor,No,4782,10,22,Full
65,Masters,No,96,19,49,Full
54,Bachelor,No,97,15,38,Full
53,Bachelor,No,93,16,35,Full
47,High School,Yes,97,1,25,Full
43,Masters,No,864,16,25,Full
38,High School,No,110,1,20,Full
38,High School,Yes,3075,9,19,Full
57,Masters,No,95,17,40,Full
46,Bachelor,No,109,13,28,Full
33,High School,No,22285,6,13,Full
50,Bachelor,No,98,16,29,Full
51,High School,No,126,1,35,Full
22,High School,No,2729,1,6,Full
54,High School,No,95,5,36,Full
39,Masters,Yes,91,9,22,Full
45,High School,No,108,6,27,Full
49,Bachelor,No,102,12,29,Full
48,Masters,No,110,20,30,Full
36,Bachelor,No,98,17,17,Full
49,High School,Yes,113,7,27,Full
48,Bachelor,No,101,14,26,Full
33,High School,Yes,1254,7,11,Full
38,High School,No,105,1,16,Full
51,Masters,No,99,8,33,Full
48,Masters,Yes,92,17,29,Full
41,High School,No,116,1,24,Full
43,PhD,No,6726,21,21,Full
52,Masters,No,32059,16,31,Full
46,Masters,No,109,22,24,Full
53,High School,Yes,2382,1,36,Full
31,High School,No,4431,8,11,Full
46,High School,No,110,9,29,Full
41,High School,No,94,6,22,Full
53,Bachelor,No,94,9,36,Full
54,Masters,No,110,13,35,Full
36,High School,No,3636,1,16,Full
47,PhD,Yes,94,9,28,Full
39,Bachelor,No,97,14,21,Full
31,High School,No,5963,1,9,Full
49,Masters,No,105,6,32,Full
50,Bachelor,No,41077,11,28,Full
31,High School,No,4552,1,9,Full
53,High School,No,102,6,37,Full
59,PhD,No,2545,14,37,Full
41,Bachelor,No,100,11,23,Full
55,High School,No,3111,1,34,Full
47,Bachelor,No,112,14,25,Full
45,Masters,No,103,14,23,Full
44,High School,No,103,8,25,Full
51,Bachelor,No,4298,12,30,Full
50,High School,No,4623,5,29,Full
48,Bachelor,No,102,11,27,Full
28,High School,No,111,1,10,Full
55,Bachelor,No,97,14,37,Full
43,High School,No,109,1,25,Full
43,High School,No,116,1,21,Full
37,High School,No,2222,1,15,Full
44,High School,No,106,1,26,Full
53,High School,No,2037,1,34,Full
41,High School,No,103,6,24,Full
36,High School,No,100,1,19,Full
62,Bachelor,No,94,14,44,Full
