driverAge,educationLevel,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
26,Bachelor,105,0,4,10,Full
43,High School,103,0,1,25,Full
34,PhD,4975,0,16,15,Full
42,Bachelor,111,0,9,21,Full
54,Masters,9540,0,11,36,Full
46,Masters,104,0,19,28,Full
44,High School,1957,1,1,24,Full
51,High School,102,0,1,34,Full
58,PhD,96,0,18,42,Full
56,Masters,97,0,11,38,Full
40,High School,3261,1,1,22,Full
54,Masters,97,1,15,37,Full
38,High School,2855,0,8,19,Full
41,Masters,94,0,13,19,Full
45,Masters,100,0,23,26,Full
33,High School,7088,0,6,13,Full
56,PhD,100,0,13,39,Full
52,Masters,104,0,10,34,Full
41,Bachelor,110,0,3,22,Full
46,Bachelor,104,0,10,27,Full
39,Bachelor,102,0,13,23,Full
57,Bachelor,88,0,13,41,Full
33,Bachelor,99,0,5,12,Full
60,Bachelor,109,0,1,38,Full
53,Bachelor,102,0,1,33,Full
47,Masters,103,0,18,28,Full
52,Bachelor,102,0,10,33,Full
36,High School,99,0,6,19,Full
46,High School,106,0,7,30,Full
43,High School,110,0,1,21,Full
45,Bachelor,116,0,8,29,Full
44,High School,3369,0,7,25,Full
60,Bachelor,110,0,9,38,Full
54,High School,98,0,4,34,Full
39,Bachelor,5816,0,10,20,Full
46,Bachelor,96,0,9,28,Full
48,Bachelor,103,0,10,32,Full
36,High School,101,0,10,20,Full
40,High School,94,1,1,23,Full
49,High School,117,0,7,27,Full
45,Bachelor,107,0,8,25,Full
50,Bachelor,104,0,1,33,Full
46,PhD,100,0,16,30,Full
29,Bachelor,96,0,4,8,Full
46,Masters,96,1,14,26,Full
59,High School,110,0,3,40,Full
42,Bachelor,93,0,13,23,Full
46,High School,95,0,1,25,Full
34,High School,111,0,6,12,Full
58,High School,101,0,8,38,Full
40,High School,113,0,6,22,Full
53,PhD,107,0,17,34,Full
40,High School,5493,0,10,18,Full
38,High School,103,0,1,21,Full
40,High School,3000,0,6,21,Full
44,High School,103,0,1,25,Full
49,Bachelor,101,0,9,31,Full
42,High School,3044,1,1,23,Full
39,High School,117,1,1,22,Full
46,High School,115,0,1,29,Full
50,High School,92,0,10,29,Full
32,High School,106,0,9,15,Full
43,High School,114,0,1,22,Full
48,Bachelor,114,0,5,32,Full
54,High School,4147,1,1,35,Full
49,PhD,109,0,10,30,Full
39,Masters,104,0,1,19,Full
57,Bachelor,92,0,11,39,Full
46,High School,105,0,12,30,Full
50,High School,5459,0,1,29,Full
41,Bachelor,6123,1,9,22,Full
50,High School,106,1,5,33,Full
43,Masters,3925,0,14,27,Full
44,High School,96,0,6,22,Full
40,Bachelor,96,0,9,18,Full
51,Masters,96,0,15,35,Full
46,Bachelor,3570,0,8,25,Full
57,Bachelor,4373,0,12,40,Full
49,Masters,96,0,10,27,Full
42,High School,92,0,8,22,Full
51,High School,2950,1,7,30,Full
50,High School,105,0,9,28,Full
39,Bachelor,706,0,10,20,Full
53,Masters,108,0,13,35,Full
35,Bachelor,96,0,10,15,Full
42,High School,16798,0,5,24,Full
47,Bachelor,102,0,10,26,Full
63,Masters,105,0,12,45,Full
45,High School,116,0,1,26,Full
59,High School,5275,0,1,37,Full
45,High School,5641,0,8,23,Full
48,Masters,100,0,16,32,Full
46,Masters,99,0,27,29,Full
54,PhD,101,0,15,36,Full
41,High School,1338,0,5,21,Full
46,High School,101,0,1,27,Full
49,High School,96,0,10,30,Full
51,Masters,107,0,16,29,Full
47,PhD,108,0,21,26,Full
35,High School,117,0,1,13,Full
35,PhD,94,0,17,15,Full
34,High School,113,0,1,16,Full
45,High School,90,0,8,27,Full
55,High School,98,0,6,37,Full
54,Bachelor,104,0,3,34,Full
60,PhD,2907,0,13,42,Full
48,Masters,104,1,19,26,Full
52,PhD,105,0,17,32,Full
35,High School,2934,0,6,16,Full
52,PhD,102,0,10,32,Full
45,High School,97,0,9,28,Full
36,Bachelor,5118,0,7,20,Full
57,PhD,99,0,9,35,Full
33,Bachelor,109,0,3,11,Full
49,High School,106,0,6,33,Full
45,Masters,102,0,19,28,Full
56,Bachelor,106,0,5,36,Full
50,Masters,101,0,16,29,Full
53,PhD,93,0,9,37,Full
34,High School,112,0,1,17,Full
41,High School,120,0,5,20,Full
42,High School,5039,0,1,24,Full
52,PhD,95,0,15,35,Full
36,High School,102,0,3,14,Full
60,High School,2166,1,1,44,Full
29,High School,116,1,1,9,Full
60,Bachelor,102,0,1,40,Full
30,Bachelor,707,1,5,10,Full
43,Bachelor,111,0,1,27,Full
50,Bachelor,774,0,10,32,Full
37,Bachelor,6332,1,1,17,Full
61,Bachelor,102,0,9,40,Full
43,Bachelor,104,1,9,24,Full
33,High School,125,0,7,15,Full
52,High School,3554,0,6,31,Full
47,Masters,92,1,16,25,Full
41,High School,103,0,1,24,Full
46,High School,99,0,7,27,Full
41,Bachelor,3388,0,11,23,Full
46,Bachelor,104,0,12,30,Full
24,Bachelor,98,1,8,5,Full
40,High School,111,0,7,22,Full
37,PhD,5146,0,16,19,Full
42,High School,101,0,8,21,Full
30,High School,2668,0,9,12,Full
48,High School,101,0,5,30,Full
39,Bachelor,111,0,7,19,Full
43,High School,97,1,8,24,Full
61,Masters,103,0,15,40,Full
48,PhD,98,0,15,30,Full
39,Masters,109,0,6,22,Full
51,Masters,5349,0,15,33,Full
36,Bachelor,2532,0,7,14,Full
59,High School,45191,0,1,38,Full
37,High School,110,0,1,17,Full
49,PhD,114,0,1,30,Full
39,Bachelor,107,0,10,20,Full
53,High School,5667,0,6,31,Full
48,High School,101,0,8,30,Full
36,High School,5836,0,1,18,Full
46,Bachelor,3036,1,6,29,Full
29,High School,116,0,1,10,Full
57,Bachelor,98,0,13,38,Full
40,High School,117,0,1,21,Full
26,Bachelor,3110,0,8,10,Full
51,PhD,102,0,17,29,Full
40,High School,1453,0,5,21,Full
55,PhD,101,0,13,33,Full
44,High School,98,0,1,22,Full
32,High School,1900,1,1,13,Full
36,High School,103,0,6,19,Full
54,Masters,94,0,16,33,Full
46,High School,112,0,6,29,Full
41,PhD,99,0,8,20,Full
45,Bachelor,114,0,1,25,Full
51,Bachelor,109,0,1,34,Full
43,High School,99,0,7,24,Full
44,High School,116,0,7,25,Full
28,Bachelor,100,0,11,9,Full
61,Masters,94,1,8,44,Full
41,Bachelor,108,0,1,23,Full
42,Masters,103,0,19,21,Full
39,High School,5443,0,7,23,Full
43,Masters,4847,0,15,23,Full
34,Bachelor,104,0,14,16,Full
41,Masters,95,0,20,25,Full
53,Bachelor,97,0,10,36,Full
32,High School,107,0,8,11,Full
38,High School,773,0,1,18,Full
51,PhD,97,0,10,31,Full
54,Masters,105,0,24,37,Full
50,Masters,103,0,15,28,Full
46,High School,98,0,1,25,Full
44,High School,114,0,1,26,Full
48,Bachelor,110,0,6,26,Full
52,PhD,105,0,18,36,Full
34,High School,7485,0,6,15,Full
49,Bachelor,109,0,13,27,Full
53,Masters,111,0,17,32,Full
39,High School,113,1,1,20,Full
51,PhD,1347,0,10,30,Full
46,High School,93,0,7,30,Full
35,Bachelor,3034,1,6,16,Full
43,High School,4271,1,1,25,Full
50,Masters,95,0,13,29,Full
38,Bachelor,112,0,12,16,Full
39,High School,112,0,1,22,Full
46,Masters,115,0,5,25,Full
43,High School,116,0,1,24,Full
47,High School,109,0,3,30,Full
52,High School,104,0,5,31,Full
53,High School,6685,0,10,34,Full
39,Masters,108,0,11,20,Full
38,High School,112,0,6,18,Full
50,Bachelor,101,0,9,31,Full
51,Masters,95,1,16,31,Full
54,Bachelor,1037,1,7,32,Full
39,High School,111,0,6,17,Full
36,High School,6386,0,1,20,Full
36,High School,1990,0,1,17,Full
54,Bachelor,6208,0,9,33,Full
41,High School,96,0,12,19,Full
42,Bachelor,103,0,8,23,Full
42,Bachelor,110,0,6,23,Full
39,High School,99,0,6,17,Full
57,High School,19352,0,7,37,Full
41,Bachelor,107,1,1,22,Full
47,High School,4903,0,1,29,Full
51,High School,110,0,1,35,Full
42,Masters,95,0,11,25,Full
49,Masters,108,1,16,27,Full
49,Masters,102,0,19,28,Full
32,Bachelor,92,0,15,15,Full
47,High School,2589,0,1,27,Full
37,High School,103,1,1,16,Full
51,PhD,99,0,11,35,Full
35,Bachelor,105,0,1,19,Full
53,High School,97,0,9,31,Full
43,Bachelor,102,0,10,26,Full
39,High School,112,0,1,19,Full
52,Masters,116,0,15,34,Full
36,Bachelor,4296,0,3,20,Full
39,High School,2777,0,8,18,Full
52,Bachelor,4298,0,11,35,Full
53,Masters,101,0,12,31,Full
37,Bachelor,119,0,4,19,Full
57,Masters,2536,0,12,39,Full
41,High School,1009,0,12,23,Full
39,PhD,5723,0,16,17,Full
35,Bachelor,113,0,12,14,Full
45,Bachelor,2446,0,4,26,Full
39,High School,109,0,6,17,Full
43,High School,103,0,1,25,Full
51,PhD,338,0,11,29,Full
44,High School,88,0,9,26,Full
34,High School,115,0,6,13,Full
51,Bachelor,2257,0,4,34,Full
34,High School,104,1,1,14,Full
43,High School,109,0,5,21,Full
41,High School,2774,0,1,19,Full
42,Masters,93,1,15,23,Full
38,Bachelor,98,0,8,21,Full
36,PhD,98,0,14,15,Full
34,Bachelor,98,1,15,17,Full
49,Bachelor,98,0,12,31,Full
26,High School,3997,1,1,7,Full
42,High School,8496,0,8,22,Full
44,Bachelor,99,0,14,24,Full
55,PhD,99,0,9,38,Full
30,Masters,93,0,24,11,Full
39,High School,104,0,7,22,Full
36,High School,104,0,1,15,Full
45,Masters,105,0,1,28,Full
49,High School,103,0,8,29,Full
50,Bachelor,96,0,13,30,Full
58,Bachelor,91,1,15,41,Full
56,Bachelor,101,0,9,36,Full
37,High School,103,1,1,16,Full
46,Masters,111,1,19,26,Full
41,Masters,292,0,5,23,Full
45,Masters,102,0,15,27,Full
53,High School,95,0,10,37,Full
51,Bachelor,96,0,14,30,Full
51,High School,6431,0,11,35,Full
33,Bachelor,109,0,10,16,Full
43,Masters,102,0,16,26,Full
47,Bachelor,101,0,12,30,Full
55,Bachelor,105,0,4,38,Full
43,Masters,108,0,13,23,Full
38,High School,9388,0,1,22,Full
51,Masters,785,0,19,29,Full
36,Masters,90,0,16,19,Full
31,High School,4229,0,6,13,Full
38,Bachelor,105,0,5,18,Full
47,Masters,99,0,13,31,Full
36,High School,99,0,1,15,Full
38,Masters,103,0,15,18,Full
43,Masters,101,0,15,24,Full
41,Bachelor,96,0,12,24,Full
50,High School,128,0,1,32,Full
53,Masters,98,0,13,32,Full
46,High School,5120,1,1,30,Full
55,PhD,102,0,8,35,Full
63,High School,105,0,1,47,Full
40,PhD,6767,0,25,21,Full
35,Bachelor,109,0,1,17,Full
55,Bachelor,107,0,7,34,Full
38,High School,105,0,1,16,Full
60,Masters,113,0,20,40,Full
29,High School,6464,1,1,8,Full
48,Masters,106,0,16,29,Full
58,PhD,89,0,17,40,Full
40,Bachelor,113,0,1,23,Full
43,Masters,6515,0,13,27,Full
40,High School,109,0,1,18,Full
47,Masters,99,0,15,28,Full
42,High School,96,1,12,21,Full
48,High School,103,0,6,27,Full
47,High School,111,0,1,31,Full
46,Masters,102,0,16,30,Full
52,High School,108,0,1,33,Full
44,Bachelor,114,0,14,25,Full
31,High School,112,0,1,11,Full
52,High School,109,0,1,34,Full
51,Bachelor,101,0,6,29,Full
35,Bachelor,3840,1,9,14,Full
49,High School,2527,0,1,32,Full
53,PhD,97,0,11,35,Full
31,High School,19970,0,1,10,Full
50,High School,110,0,8,28,Full
48,High School,113,0,1,27,Full
51,High School,108,0,1,29,Full
53,Masters,101,0,18,36,Full
54,Bachelor,110,0,1,37,Full
47,Bachelor,108,0,12,25,Full
43,High School,6879,0,12,23,Full
48,High School,96,0,1,26,Full
38,PhD,97,0,14,20,Full
30,High School,111,0,6,11,Full
45,PhD,102,0,14,29,Full
37,High School,1499,1,1,16,Full
43,Masters,104,1,19,23,Full
43,Bachelor,104,0,1,23,Full
51,Masters,3291,0,8,31,Full
56,Bachelor,119,0,13,37,Full
28,Bachelor,91,0,9,7,Full
44,Bachelor,6170,0,10,22,Full
42,High School,4236,1,1,26,Full
27,High School,8107,1,1,10,Full
46,PhD,97,0,10,25,Full
43,High School,107,0,1,24,Full
47,Masters,94,1,9,29,Full
34,Bachelor,106,0,13,16,Full
33,High School,91,1,1,14,Full
48,High School,107,0,1,28,Full
59,PhD,99,0,10,40,Full
55,High School,109,0,7,34,Full
44,Masters,6111,0,16,22,Full
39,High School,99,0,1,23,Full
37,High School,3514,0,5,16,Full
45,Bachelor,98,0,6,28,Full
35,High School,114,0,1,13,Full
60,PhD,5342,0,11,43,Full
46,High School,5488,0,7,29,Full
57,Bachelor,96,0,10,35,Full
49,High School,116,0,5,28,Full
28,High School,114,0,1,11,Full
53,Bachelor,97,0,11,33,Full
37,High School,5027,0,1,16,Full
45,Masters,100,0,10,23,Full
47,Masters,100,0,9,26,Full
40,Bachelor,96,0,12,22,Full
45,Bachelor,89,0,8,27,Full
58,Bachelor,100,0,8,39,Full
48,High School,94,0,1,31,Full
46,High School,98,0,7,28,Full
32,High School,104,0,5,16,Full
54,High School,98,0,1,32,Full
51,Bachelor,103,0,8,32,Full
48,Bachelor,96,0,10,28,Full
39,Bachelor,104,0,1,21,Full
42,High School,3674,1,1,25,Full
53,Masters,105,0,18,31,Full
39,High School,105,0,1,17,Full
44,High School,107,0,8,22,Full
56,Bachelor,99,0,9,36,Full
49,Masters,93,1,17,33,Full
43,High School,110,0,4,27,Full
46,Bachelor,3180,0,10,30,Full
37,Bachelor,3439,0,12,17,Full
33,High School,116,0,6,12,Full
37,High School,97,0,6,19,Full
22,High School,5430,0,1,4,P2
44,Masters,108,0,18,23,Full
55,Bachelor,104,0,9,34,Full
60,High School,3736,0,1,43,Full
36,High School,92,1,1,15,Full
60,Masters,104,0,19,40,Full
53,PhD,103,0,15,35,Full
45,Bachelor,114,0,13,24,Full
43,High School,106,0,1,24,Full
43,PhD,111,0,1,26,Full
49,High School,3140,0,7,31,Full
36,High School,4482,0,7,17,Full
50,High School,110,0,1,33,Full
64,Bachelor,4278,0,9,48,Full
56,High School,97,0,7,40,Full
41,High School,5576,0,1,22,Full
42,High School,105,0,9,26,Full
47,High School,243,0,11,28,Full
60,Bachelor,103,0,12,43,Full
45,Bachelor,110,0,7,27,Full
53,Bachelor,95,0,10,36,Full
51,High School,90,0,8,32,Full
49,High School,20883,0,1,27,Full
53,High School,111,0,1,33,Full
55,Masters,114,0,1,35,Full
52,Masters,95,0,11,30,Full
45,PhD,106,1,13,24,Full
41,Bachelor,113,0,1,20,Full
45,High School,2610,0,6,24,Full
36,Masters,104,0,15,17,Full
32,High School,5692,0,7,16,Full
65,High School,104,0,1,46,Full
43,High School,92,0,8,22,Full
44,PhD,109,0,15,26,Full
49,Bachelor,4246,0,9,32,Full
41,Masters,90,0,20,22,Full
35,Masters,107,0,9,14,Full
41,Bachelor,98,0,13,19,Full
56,Bachelor,98,0,9,38,Full
35,Bachelor,111,0,7,15,Full
51,Masters,100,0,13,32,Full
43,PhD,101,0,11,27,Full
41,PhD,101,0,11,20,Full
56,Bachelor,97,0,11,37,Full
37,Masters,93,0,17,16,Full
40,Bachelor,103,0,1,20,Full
41,PhD,94,0,11,20,Full
45,High School,95,0,8,24,Full
57,PhD,95,0,11,39,Full
64,Bachelor,6316,1,11,45,Full
36,Masters,94,0,8,17,Full
50,High School,3124,0,1,29,Full
38,High School,100,0,6,16,Full
28,High School,104,1,1,12,Full
38,High School,108,0,4,19,Full
57,Masters,105,1,12,40,Full
58,Masters,103,0,13,36,Full
49,PhD,98,0,22,27,Full
51,High School,2235,0,1,32,Full
41,Masters,1187,1,8,23,Full
49,High School,97,0,11,27,Full
62,Masters,104,0,12,45,Full
56,Bachelor,295,0,12,40,Full
45,Masters,1283,0,17,27,Full
31,High School,4550,0,1,15,Full
46,PhD,98,0,13,24,Full
57,High School,90,1,9,35,Full
53,Masters,3149,0,13,31,Full
55,High School,101,0,9,36,Full
39,Bachelor,103,0,11,20,Full
44,PhD,99,0,16,25,Full
48,PhD,116,1,1,28,Full
47,Masters,109,0,22,27,Full
27,High School,102,0,7,7,Full
47,Bachelor,4719,0,8,30,Full
53,High School,3611,1,8,33,Full
48,High School,4849,0,11,27,Full
42,Masters,7084,0,14,21,Full
55,Bachelor,103,0,11,36,Full
30,High School,115,0,6,11,Full
47,Bachelor,98,0,10,31,Full
52,High School,1131,1,1,34,Full
41,PhD,99,0,12,23,Full
42,Masters,104,0,15,25,Full
32,High School,107,0,1,14,Full
27,Bachelor,98,0,7,5,Full
45,Bachelor,4361,1,12,28,Full
38,High School,596,0,1,22,Full
53,Bachelor,7990,0,9,34,Full
34,Bachelor,108,1,1,15,Full
46,PhD,93,0,10,29,Full
39,Bachelor,107,0,10,19,Full
39,Bachelor,89,0,11,23,Full
36,Masters,113,0,9,15,Full
51,High School,97,1,11,32,Full
41,PhD,102,0,13,22,Full
55,Masters,103,1,9,33,Full
27,High School,4446,0,7,11,Full
36,High School,96,0,7,15,Full
48,Masters,2115,0,18,27,Full
40,Bachelor,90,0,8,23,Full
40,High School,3007,0,1,20,Full
41,Bachelor,112,0,11,19,Full
36,Masters,93,0,20,14,Full
51,Masters,3725,0,19,34,Full
33,Masters,99,0,17,17,Full
56,Bachelor,108,0,12,38,Full
56,PhD,105,0,10,39,Full
39,Bachelor,99,0,12,21,Full
54,High School,104,0,4,32,Full
35,Bachelor,92,0,10,19,Full
57,Masters,105,0,16,36,Full
43,Bachelor,108,0,9,25,Full
41,Bachelor,112,0,11,22,Full
57,Bachelor,103,0,11,39,Full
47,Bachelor,96,0,13,27,Full
38,Bachelor,110,0,14,18,Full
56,Masters,99,0,15,34,Full
39,Masters,100,0,15,23,Full
47,High School,112,0,1,27,Full
57,High School,2551,0,7,36,Full
45,Bachelor,131,0,2,24,Full
38,High School,1206,0,6,16,Full
35,High School,101,0,6,17,Full
41,High School,120,0,1,19,Full
48,Bachelor,100,0,7,29,Full
54,Masters,108,0,15,38,Full
25,High School,3748,1,8,8,Full
53,Masters,112,0,15,34,Full
35,Bachelor,113,0,8,13,Full
36,High School,112,0,1,19,Full
39,High School,94,0,1,23,Full
49,High School,100,0,8,32,Full
44,PhD,99,0,17,25,Full
50,Masters,104,0,10,30,Full
57,PhD,91,0,10,35,Full
31,Bachelor,4125,0,9,15,Full
61,High School,89,0,9,41,Full
50,Masters,4519,0,12,30,Full
57,PhD,99,0,14,37,Full
49,PhD,99,0,14,30,Full
48,Masters,104,0,18,26,Full
41,Masters,39729,0,7,20,Full
52,PhD,18461,0,11,30,Full
36,Masters,1760,0,17,18,Full
52,High School,4370,0,7,32,Full
46,Masters,3993,0,15,28,Full
39,PhD,100,0,19,23,Full
28,Bachelor,98,0,12,11,Full
47,Masters,98,1,18,27,Full
39,Masters,97,0,16,18,Full
63,High School,19668,0,9,45,Full
53,Bachelor,6804,0,1,37,Full
53,PhD,112,0,13,34,Full
51,PhD,96,0,12,30,Full
43,High School,2660,0,1,21,Full
49,High School,98,0,6,28,Full
51,High School,113,0,12,35,Full
41,High School,125,0,7,22,Full
67,High School,8641,1,1,50,Full
39,High School,8843,0,10,22,Full
34,High School,2091,0,1,13,Full
54,Bachelor,106,0,11,36,Full
37,High School,109,0,7,18,Full
45,Bachelor,99,0,9,26,Full
54,Masters,112,0,1,33,Full
42,Masters,90,0,16,25,Full
33,High School,108,0,8,12,Full
50,Bachelor,112,0,1,29,Full
43,Masters,116,0,15,27,Full
35,High School,2186,0,1,19,Full
46,Bachelor,109,0,8,28,Full
53,Masters,104,1,15,36,Full
53,High School,103,0,1,31,Full
49,High School,94,0,8,32,Full
34,Bachelor,97,0,8,14,Full
44,Masters,110,0,14,23,Full
51,Masters,112,0,5,33,Full
41,Bachelor,3404,0,13,24,Full
47,High School,89,0,10,27,Full
59,High School,107,0,7,40,Full
40,High School,108,0,1,18,Full
46,Bachelor,103,0,7,25,Full
47,Masters,104,0,11,27,Full
44,Masters,4267,0,11,27,Full
49,Masters,101,0,17,33,Full
37,High School,8812,1,11,19,Full
34,High School,2635,0,9,15,Full
47,Masters,101,0,7,25,Full
49,Masters,107,0,17,28,Full
34,High School,115,0,1,18,Full
43,Bachelor,101,0,9,25,Full
58,PhD,101,0,14,39,Full
50,High School,99,0,12,31,Full
54,High School,115,0,1,33,Full
39,High School,100,0,12,18,Full
40,Bachelor,91,0,14,23,Full
37,High School,1941,1,7,17,Full
52,Masters,107,0,21,31,Full
46,High School,3501,0,1,30,Full
34,High School,116,0,1,13,Full
51,Bachelor,100,0,15,31,Full
53,Masters,99,1,10,36,Full
47,Masters,107,0,12,30,Full
53,High School,102,0,5,37,Full
42,Masters,100,0,15,20,Full
43,High School,98,0,3,24,Full
36,High School,101,1,7,18,Full
39,High School,4056,0,1,17,Full
50,PhD,109,0,22,31,Full
47,High School,3846,1,1,27,Full
44,Bachelor,104,0,6,22,Full
44,High School,103,0,1,23,Full
38,Bachelor,6787,0,11,22,Full
30,Masters,106,0,15,8,Full
48,High School,4715,1,9,31,Full
36,High School,810,1,1,15,Full
38,Masters,94,0,15,19,Full
58,High School,3776,1,8,42,Full
61,Masters,104,0,19,43,Full
42,PhD,102,0,10,21,Full
39,Bachelor,2597,0,8,17,Full
50,Bachelor,125,0,1,33,Full
37,High School,4052,0,1,18,Full
46,High School,92,0,8,29,Full
29,High School,108,0,5,9,Full
43,Bachelor,102,0,11,25,Full
52,Masters,107,0,13,31,Full
42,Masters,103,0,13,24,Full
49,Bachelor,102,0,1,31,Full
52,Masters,107,0,6,30,Full
60,Bachelor,101,0,8,40,Full
44,Bachelor,106,0,4,25,Full
55,High School,100,1,5,34,Full
44,Bachelor,104,0,11,25,Full
42,High School,6932,1,1,20,Full
38,High School,98,0,1,19,Full
38,Bachelor,104,0,10,19,Full
34,Masters,3066,1,1,15,Full
54,High School,105,0,8,38,Full
63,Masters,94,0,15,41,Full
45,PhD,93,0,9,25,Full
36,High School,99,0,6,18,Full
49,Masters,5453,0,18,30,Full
26,High School,3581,0,1,7,Full
59,Bachelor,101,0,11,41,Full
46,Masters,2843,0,21,28,Full
49,Bachelor,107,1,9,33,Full
35,Bachelor,104,0,11,15,Full
46,High School,100,0,11,29,Full
42,High School,97,0,1,21,Full
27,High School,9117,0,10,11,Full
47,High School,2641,0,1,30,Full
40,Bachelor,96,0,11,24,Full
50,Masters,99,0,13,30,Full
49,Bachelor,97,0,12,29,Full
45,Bachelor,97,0,10,28,Full
34,High School,98,0,6,12,Full
39,Masters,96,0,9,20,Full
47,Bachelor,6027,0,2,26,Full
59,Bachelor,98,0,10,40,Full
48,PhD,103,0,11,29,Full
45,Bachelor,102,0,9,23,Full
43,Masters,96,0,14,26,Full
45,High School,1379,0,1,26,Full
52,Masters,94,0,12,34,Full
49,High School,93,0,5,31,Full
49,Masters,103,0,10,29,Full
57,High School,107,1,1,40,Full
44,High School,98,0,8,25,Full
39,Masters,92,0,21,21,Full
32,PhD,113,0,10,13,Full
45,High School,104,0,1,24,Full
41,High School,5525,0,1,25,Full
60,PhD,99,0,13,41,Full
47,PhD,101,0,9,27,Full
36,Masters,110,0,14,14,Full
45,Bachelor,108,1,3,29,Full
33,High School,102,0,1,16,Full
41,Bachelor,5745,0,10,22,Full
42,High School,100,0,10,23,Full
58,Masters,98,0,12,42,Full
39,High School,101,0,1,19,Full
33,High School,96,0,8,13,Full
37,High School,98,0,9,17,Full
59,High School,110,0,1,38,Full
53,High School,13003,0,4,36,Full
37,High School,116,0,7,15,Full
53,Masters,112,0,12,37,Full
41,Bachelor,110,0,7,19,Full
43,High School,93,0,1,25,Full
39,High School,112,0,1,22,Full
44,High School,105,0,1,24,Full
62,High School,109,0,6,42,Full
40,Masters,108,1,1,21,Full
58,High School,5185,1,1,37,Full
48,PhD,99,0,17,27,Full
32,Masters,104,0,11,15,Full
33,High School,3161,0,13,17,Full
49,High School,94,0,12,27,Full
36,High School,5013,0,1,14,Full
49,High School,119,0,6,29,Full
56,Bachelor,95,0,15,38,Full
53,Masters,109,0,16,34,Full
30,Bachelor,99,1,7,14,Full
39,Bachelor,2519,1,11,23,Full
37,Masters,5150,0,16,16,Full
51,Bachelor,95,0,10,35,Full
59,High School,100,0,9,38,Full
42,Masters,109,0,14,21,Full
51,Bachelor,95,0,11,29,Full
31,High School,110,0,1,10,Full
26,High School,3953,0,1,7,Full
54,Masters,10106,0,17,36,Full
51,High School,93,0,11,31,Full
57,Masters,5061,0,4,38,Full
44,High School,105,0,6,25,Full
40,High School,3207,0,7,22,Full
16,High School,113,0,7,-6,Ls
34,High School,117,1,1,12,Full
52,Masters,2489,0,17,36,Full
36,Masters,97,0,11,16,Full
37,Bachelor,93,1,10,20,Full
38,Masters,1306,0,10,22,Full
39,High School,110,0,9,18,Full
32,Bachelor,112,0,11,16,Full
61,PhD,106,0,12,43,Full
46,Masters,98,0,12,29,Full
40,Masters,2737,0,20,20,Full
50,High School,96,0,8,30,Full
45,Bachelor,2836,0,10,25,Full
35,High School,109,0,1,17,Full
51,Bachelor,97,0,14,30,Full
43,Bachelor,99,1,11,26,Full
34,Masters,96,0,12,17,Full
50,PhD,101,0,14,34,Full
33,High School,89,1,7,12,Full
49,Bachelor,97,0,9,30,Full
43,PhD,103,0,9,26,Full
41,Bachelor,5387,0,11,21,Full
35,High School,110,0,6,15,Full
46,Bachelor,120,0,1,27,Full
43,Bachelor,2506,0,7,24,Full
34,High School,92,0,7,18,Full
40,High School,1155,0,1,24,Full
33,High School,5867,1,9,11,Full
33,High School,108,0,8,15,Full
36,Bachelor,101,0,10,15,Full
36,High School,3455,1,1,14,Full
51,Masters,99,0,15,31,Full
50,High School,91,0,8,32,Full
55,High School,6855,0,5,35,Full
29,PhD,109,0,10,11,Full
36,High School,107,0,1,20,Full
47,High School,110,0,1,30,Full
52,Bachelor,106,0,1,31,Full
46,Bachelor,121,0,3,24,Full
34,Bachelor,854,1,1,15,Full
48,Masters,100,0,17,28,Full
45,Bachelor,103,0,8,24,Full
57,Bachelor,95,0,13,41,Full
45,Bachelor,96,0,9,23,Full
63,Masters,4314,1,17,47,Full
42,High School,5727,0,9,26,Full
66,Masters,101,0,10,48,Full
54,Bachelor,98,0,8,33,Full
52,High School,531,1,9,33,Full
47,High School,99,0,1,25,Full
42,Bachelor,23805,1,10,26,Full
50,High School,103,0,5,32,Full
40,High School,102,1,10,18,Full
43,PhD,2360,0,15,27,Full
40,High School,92,0,10,22,Full
45,High School,101,0,3,24,Full
37,High School,6480,0,1,20,Full
49,Masters,98,0,13,31,Full
44,Bachelor,95,1,11,24,Full
45,Masters,97,0,21,26,Full
33,Bachelor,2206,0,8,15,Full
43,Bachelor,99,0,9,24,Full
38,High School,104,0,4,20,Full
51,Bachelor,96,0,5,32,Full
39,High School,110,0,1,18,Full
48,Bachelor,5021,0,12,31,Full
34,Bachelor,103,0,5,14,Full
34,Bachelor,99,0,15,14,Full
59,PhD,98,0,14,39,Full
50,Masters,100,0,8,28,Full
53,PhD,3857,0,17,31,Full
53,High School,100,0,4,35,Full
54,Masters,2729,0,15,32,Full
30,High School,114,0,5,10,Full
51,Masters,103,0,16,35,Full
39,Bachelor,1076,0,1,23,Full
58,PhD,95,0,19,36,Full
35,High School,108,0,6,13,Full
46,Masters,3257,0,18,26,Full
35,High School,101,0,5,14,Full
42,Bachelor,6995,0,14,22,Full
41,Bachelor,102,1,6,23,Full
52,Bachelor,105,0,14,30,Full
34,High School,107,0,1,14,Full
41,High School,108,0,1,22,Full
39,Masters,8876,0,4,18,Full
37,Bachelor,105,0,11,20,Full
51,PhD,4896,1,17,33,Full
55,Bachelor,2517,0,5,37,Full
42,High School,2513,1,1,20,Full
41,Bachelor,113,0,14,25,Full
28,Bachelor,102,0,13,10,Full
