index,index,timeascustomer,driverage,insuranceaccess,insurancepremium,incidenttime,numvehiclesinvolved,numbodilyinjuries,policereportbool,totalclaimamount,vehicleage,driverexperience,educationlevel,accidenttype,incidentseverity,authoritiesinvolved,licencetype,drivergender,fraud
968,968,179,32,1000,1433,4,1,1,0,54200,1,12,College,Multi-vehicle Collision,Major Loss,,Full,0.0,1
969,969,372,50,2000,1369,18,3,2,1,51800,12,30,High School,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
970,970,398,55,500,862,7,1,2,0,6600,3,38,Bachelor,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
971,971,213,35,500,871,13,1,2,1,74140,8,14,JD,Multi-vehicle Collision,Trivial Damage,Ambulance,Full,0.0,0
972,972,79,25,500,1863,0,1,2,0,67800,20,3,High School,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
973,973,232,44,2000,1182,22,1,1,1,55400,13,24,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
974,974,230,37,1000,1061,15,1,2,0,49100,19,21,PhD,Single Vehicle Collision,Trivial Damage,Other,Full,0.0,1
975,975,234,41,500,952,3,3,2,0,98280,8,25,College,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
976,976,240,40,500,1534,18,2,0,0,66550,7,22,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
977,977,143,33,1000,1200,17,3,2,0,70400,13,11,MD,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
978,978,266,42,500,1094,18,3,1,0,53280,0,21,High School,Multi-vehicle Collision,Major Damage,Other,Full,0.0,1
979,979,89,32,1000,989,11,1,2,1,84590,16,11,High School,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
980,980,229,37,1000,1332,17,1,0,1,54560,11,16,College,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
981,981,245,40,1000,1361,12,1,0,1,82170,16,21,MD,Parked Car,Minor Loss,Police,Full,0.0,0
982,982,50,44,2000,1189,15,3,1,0,61100,7,27,PhD,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
983,983,230,43,2000,1102,0,3,0,1,51900,4,27,High School,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
984,984,17,39,1000,841,9,1,2,0,3440,13,23,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
985,985,163,36,1000,1503,1,1,2,0,51390,2,20,Masters,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
986,986,29,32,1000,1722,22,1,0,0,76900,20,16,MD,Parked Car,Major Loss,Ambulance,Full,0.0,0
987,987,232,42,500,944,11,1,2,0,77000,0,20,Masters,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
988,988,235,39,2000,1454,10,1,0,0,60320,3,21,High School,Parked Car,Major Loss,Ambulance,Full,0.0,1
989,989,295,46,500,1673,5,1,1,0,60700,18,26,JD,Multi-vehicle Collision,Trivial Damage,Fire,Full,0.0,0
990,990,22,21,1000,1248,3,3,1,0,53280,0,0,High School,Parked Car,Minor Loss,Police,Full,0.0,0
991,991,286,43,500,1564,18,1,2,1,34290,2,27,MD,Vehicle Theft,Minor Damage,Police,Full,0.0,0
992,992,257,44,1000,1281,21,1,0,0,46980,13,23,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
993,993,94,26,500,723,6,3,1,1,36700,5,8,Bachelor,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
994,994,124,28,1000,1235,20,3,0,0,60200,3,6,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
995,995,141,30,1000,1347,6,1,1,1,6480,19,11,Masters,Single Vehicle Collision,Total Loss,,Full,0.0,0
996,996,3,38,1000,1311,20,1,0,0,87200,9,17,PhD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
997,997,285,41,1000,1437,23,1,2,0,108480,0,21,JD,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
998,998,130,34,500,1383,4,3,2,1,67500,19,15,High School,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
999,999,458,62,2000,1357,2,1,0,1,46980,17,42,High School,Vehicle Theft,Minor Damage,Police,Full,0.0,0
1000,1000,456,60,1000,766,6,1,0,0,5060,8,39,Masters,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1001,1001,97,35,500,1005,10,1,0,1,8000,14,15,MD,Vehicle Theft,Major Loss,Police,Full,0.0,0
1002,1002,118,27,2000,986,22,1,0,1,5000,17,6,Associate,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1003,1003,39,42,2000,1214,3,1,1,1,8000,3,26,High School,Single Vehicle Collision,Minor Loss,Other,Full,0.0,1
1004,1004,48,57,500,1545,22,1,0,1,9000,15,38,College,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1005,1005,69,45,1000,1399,20,1,0,1,8000,14,26,MD,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1006,1006,66,62,2000,1069,14,1,0,1,2000,11,43,High School,Single Vehicle Collision,Trivial Damage,,Full,0.0,0
1007,1007,39,31,1000,1413,0,1,0,0,7000,12,14,Masters,Multi-vehicle Collision,Total Loss,Police,Full,0.0,1
1008,1008,88,51,1000,1404,13,1,0,0,10000,2,32,Bachelor,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1009,1009,34,43,1000,994,21,1,0,0,9000,12,22,MD,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
1010,1010,102,47,500,1113,7,3,1,1,2000,7,29,Bachelor,Vehicle Theft,Major Loss,Police,Full,0.0,0
1011,1011,36,33,2000,1202,15,1,1,1,7000,18,13,MD,Vehicle Theft,Major Loss,,Full,0.0,0
1012,1012,69,50,1000,1312,0,1,1,1,6000,6,28,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
1013,1013,35,34,500,1520,9,1,0,1,1000,11,18,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1014,1014,21,61,2000,984,4,1,0,1,10000,8,45,PhD,Vehicle Theft,Major Damage,Police,Full,0.0,0
1015,1015,64,55,1000,1402,13,3,0,1,9000,18,35,PhD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
1016,1016,114,50,1000,1638,23,3,0,1,1000,5,32,High School,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1017,1017,72,39,500,1534,8,3,1,1,7000,1,22,Associate,Single Vehicle Collision,Major Loss,,Full,0.0,0
1018,1018,51,57,500,1615,0,1,1,1,6000,15,35,PhD,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
1019,1019,27,62,500,1293,12,1,0,1,3000,8,40,College,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1020,1020,119,41,1000,1333,23,1,0,0,5000,12,25,Associate,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1021,1021,41,30,1000,1099,9,1,1,1,5000,0,13,Masters,Vehicle Theft,Total Loss,,Full,0.0,0
1022,1022,93,39,500,1555,5,1,1,1,4000,20,18,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1023,1023,9,49,500,969,16,1,0,1,4000,18,32,College,Multi-vehicle Collision,Major Loss,Fire,Full,0.0,0
1024,1024,88,35,500,1325,6,1,0,1,1000,12,14,MD,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1025,1025,14,33,2000,1349,1,3,0,1,4000,0,17,Bachelor,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
1026,1026,21,27,500,854,6,1,1,0,7000,7,10,Masters,Single Vehicle Collision,Minor Damage,Fire,Full,0.0,0
1027,1027,14,41,500,944,10,3,1,0,3000,20,21,College,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1028,1028,77,59,500,1147,11,1,0,0,5000,13,40,MD,Single Vehicle Collision,Total Loss,,Full,0.0,0
1029,1029,22,32,500,1106,7,1,1,1,1000,3,16,Bachelor,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
1030,1030,88,37,2000,1632,15,3,0,1,5000,9,18,Associate,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1031,1031,31,54,500,1480,7,3,0,1,1000,20,33,Associate,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1032,1032,106,26,2000,1084,0,1,1,1,5000,10,4,College,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
1033,1033,50,35,500,898,2,1,0,1,6000,0,19,High School,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,1
1034,1034,95,50,500,851,10,1,0,1,4000,12,32,Masters,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1035,1035,30,29,2000,1274,23,3,1,1,2000,5,10,High School,Multi-vehicle Collision,Major Damage,,Full,0.0,0
1036,1036,95,57,1000,881,18,1,1,1,1000,2,41,MD,Single Vehicle Collision,Major Loss,,Full,0.0,0
1037,1037,17,39,500,1560,6,1,0,1,4000,8,22,High School,Single Vehicle Collision,Major Loss,Other,Full,0.0,1
1038,1038,7,31,1000,1610,1,1,1,1,4000,11,12,JD,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
1039,1039,38,36,500,1614,1,1,1,0,6000,0,15,PhD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1040,1040,117,64,2000,1127,3,1,0,1,2000,11,45,JD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1041,1041,117,29,2000,1386,5,3,1,0,5000,10,10,PhD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
1042,1042,115,62,500,1238,0,1,0,0,3000,16,40,High School,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
1043,1043,22,28,2000,1495,22,1,0,1,5000,8,12,Bachelor,Vehicle Theft,Total Loss,Ambulance,Full,0.0,0
1044,1044,74,37,2000,1276,3,3,0,1,8000,11,20,College,Single Vehicle Collision,Minor Damage,Police,Full,0.0,1
1045,1045,80,28,1000,1153,12,1,1,0,6000,15,11,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1046,1046,67,42,1000,1325,19,1,1,1,3000,18,25,PhD,Vehicle Theft,Total Loss,Other,Full,0.0,0
1047,1047,101,46,1000,1460,8,3,0,0,4000,7,30,Associate,Vehicle Theft,Minor Loss,Ambulance,Full,0.0,0
1048,1048,75,61,500,1369,20,3,1,0,5000,12,43,MD,Multi-vehicle Collision,Minor Damage,Ambulance,P2,0.0,0
1049,1049,23,56,1000,1256,1,3,0,0,8000,14,36,High School,Multi-vehicle Collision,Major Loss,,Full,0.0,0
1050,1050,50,51,1000,1166,12,3,0,0,6000,0,32,College,Multi-vehicle Collision,Major Damage,Other,Full,0.0,0
1051,1051,72,33,1000,981,23,1,1,0,1000,16,11,Bachelor,Parked Car,Major Damage,Police,Full,0.0,0
1052,1052,111,44,2000,1090,14,1,1,0,4000,7,25,High School,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
1053,1053,64,63,2000,1653,11,1,1,0,8000,13,45,High School,Parked Car,Total Loss,Ambulance,Full,0.0,0
1054,1054,97,53,2000,1052,12,3,0,1,10000,9,33,College,Vehicle Theft,Major Damage,Ambulance,Full,0.0,0
1055,1055,56,57,2000,1306,6,4,0,1,4000,14,39,High School,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
1056,1056,73,55,500,1260,21,3,1,1,1000,15,39,High School,Single Vehicle Collision,Total Loss,,Full,0.0,0
1057,1057,32,40,1000,1215,9,1,1,1,4000,4,24,MD,Single Vehicle Collision,Major Loss,,Full,0.0,0
1058,1058,71,29,2000,1455,5,3,1,1,7000,13,9,College,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
1059,1059,41,47,1000,1524,11,1,1,0,5000,17,26,Masters,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
1060,1060,97,61,500,1251,9,3,1,1,1000,4,40,High School,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1061,1061,101,47,1000,1249,6,3,0,1,6000,15,25,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1062,1062,39,47,500,1671,1,3,1,1,4000,13,31,JD,Multi-vehicle Collision,Minor Damage,,Full,0.0,0
1063,1063,17,28,500,1350,9,1,1,0,8000,20,8,Bachelor,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
1064,1064,6,58,1000,1360,15,3,1,1,2000,5,41,Associate,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1065,1065,23,46,1000,944,14,3,1,0,9000,3,26,High School,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
1066,1066,38,61,500,1104,11,3,0,1,2000,6,44,Masters,Multi-vehicle Collision,Total Loss,,Full,0.0,0
1067,1067,89,54,1000,1605,17,1,1,1,9000,5,36,PhD,Multi-vehicle Collision,Minor Damage,Other,Full,0.0,0
1068,1068,118,33,1000,1103,20,3,0,1,6000,15,15,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1069,1069,37,54,500,1398,19,1,1,1,8000,15,38,College,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
1070,1070,52,58,500,925,17,3,1,1,7000,13,41,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
1071,1071,50,54,1000,1561,9,1,1,0,5000,4,37,College,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1072,1072,36,35,2000,1195,5,1,0,0,4000,18,18,College,Single Vehicle Collision,Major Loss,Fire,Full,0.0,1
1073,1073,66,62,1000,1447,20,1,1,1,8000,20,45,High School,Vehicle Theft,Major Loss,Ambulance,Full,0.0,0
1074,1074,79,61,500,1629,9,1,1,1,8000,10,42,MD,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1075,1075,6,45,2000,1586,22,1,1,1,4000,13,23,PhD,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
1076,1076,116,59,1000,1469,12,4,1,1,2000,10,40,MD,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
1077,1077,62,63,500,962,14,2,1,0,10000,5,41,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1078,1078,73,35,1000,1661,2,2,1,1,8000,5,17,Bachelor,Single Vehicle Collision,Major Loss,Fire,Full,0.0,0
1079,1079,38,57,500,962,15,3,1,1,4000,6,38,College,Multi-vehicle Collision,Major Damage,Fire,Full,0.0,0
1080,1080,42,61,1000,913,13,3,1,1,2000,4,45,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
1081,1081,100,45,500,1617,1,3,1,0,6000,18,23,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1082,1082,68,38,1000,1184,4,3,0,1,8000,17,19,Masters,Parked Car,Total Loss,,Full,0.0,0
1083,1083,67,37,1000,1483,5,4,0,0,1000,9,16,Bachelor,Multi-vehicle Collision,Major Loss,Other,Full,0.0,1
1084,1084,108,38,500,1543,23,1,0,1,9000,7,18,High School,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
1085,1085,63,63,500,1603,14,1,1,1,3000,19,46,Bachelor,Parked Car,Major Loss,,Full,0.0,1
1086,1086,83,49,1000,880,7,3,1,0,1000,4,31,JD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1087,1087,80,53,2000,1553,19,1,1,1,2000,11,33,College,Parked Car,Total Loss,Police,Full,0.0,0
1088,1088,47,26,500,1573,4,3,1,1,5000,1,7,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1089,1089,23,55,1000,1592,3,1,1,1,9000,4,35,College,Vehicle Theft,Minor Loss,Police,Full,0.0,0
1090,1090,78,64,500,978,18,1,1,1,8000,12,42,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1091,1091,30,50,1000,1114,2,3,1,1,7000,13,30,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1092,1092,97,28,2000,1562,17,1,1,1,10000,11,8,High School,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
1093,1093,25,31,500,1456,10,3,0,1,2000,18,12,High School,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
1094,1094,116,60,1000,887,10,1,1,1,5000,20,40,High School,Single Vehicle Collision,Trivial Damage,Police,Full,0.0,0
1095,1095,115,61,2000,1226,3,3,1,1,7000,15,41,High School,Vehicle Theft,Major Loss,Ambulance,Full,0.0,0
1096,1096,86,53,500,966,1,3,0,1,3000,9,33,MD,Single Vehicle Collision,Major Loss,Fire,Full,0.0,0
1097,1097,31,43,500,1328,20,1,1,1,2000,17,27,MD,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
1098,1098,67,52,2000,885,23,3,1,1,1000,2,30,Masters,Parked Car,Total Loss,Police,Full,0.0,0
1099,1099,35,55,2000,1025,17,1,1,1,6000,14,35,Associate,Parked Car,Minor Damage,,Full,0.0,0
1100,1100,60,63,2000,1560,6,3,1,1,2000,10,44,College,Parked Car,Major Loss,Ambulance,Full,0.0,0
1101,1101,99,45,2000,1265,11,1,1,1,4000,3,27,High School,Parked Car,Minor Damage,Police,Full,0.0,1
1102,1102,42,61,1000,1594,1,2,1,1,6000,20,40,Bachelor,Multi-vehicle Collision,Minor Damage,,Full,0.0,0
1103,1103,52,28,1000,1603,19,1,0,0,5000,6,7,High School,Parked Car,Major Loss,Ambulance,Full,0.0,0
1104,1104,94,40,1000,1017,17,1,1,0,2000,12,19,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1105,1105,83,47,2000,1181,9,3,1,1,10000,18,31,High School,Parked Car,Minor Loss,Other,Full,0.0,0
1106,1106,109,40,1000,1591,9,1,1,1,10000,10,23,High School,Single Vehicle Collision,Minor Damage,Other,P1,0.0,0
1107,1107,72,64,500,1089,17,1,1,1,10000,2,43,MD,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
1108,1108,18,28,500,937,11,1,1,1,2000,16,11,Bachelor,Vehicle Theft,Major Loss,Police,Full,0.0,0
1109,1109,95,42,2000,1615,18,3,1,1,1000,7,23,Masters,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,1
1110,1110,82,31,500,864,6,1,1,1,3000,20,15,College,Parked Car,Minor Loss,Ambulance,Full,0.0,1
1111,1111,31,28,2000,913,23,1,1,1,3000,18,7,Bachelor,Multi-vehicle Collision,Trivial Damage,Ambulance,Full,0.0,0
1112,1112,116,38,2000,1092,20,1,1,0,10000,17,16,Masters,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1113,1113,26,49,500,1535,8,1,0,1,10000,7,33,College,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
1114,1114,94,46,2000,1606,1,3,0,1,3000,15,29,Associate,Single Vehicle Collision,Minor Loss,Other,Full,0.0,0
1115,1115,19,37,500,867,10,1,0,1,9000,20,19,High School,Multi-vehicle Collision,Total Loss,,Full,0.0,0
1116,1116,64,43,500,966,11,3,1,0,2000,10,23,High School,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1117,1117,104,59,2000,1138,22,1,1,0,6000,9,41,Masters,Single Vehicle Collision,Total Loss,,Full,0.0,0
1118,1118,100,49,2000,984,9,1,1,1,6000,0,33,High School,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
1119,1119,65,51,1000,1330,20,1,1,1,5000,14,30,High School,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
1120,1120,109,38,1000,1350,18,1,1,1,1000,17,19,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1121,1121,22,56,500,989,17,1,1,1,10000,5,38,Associate,Vehicle Theft,Total Loss,Ambulance,Full,0.0,0
1122,1122,58,35,2000,1018,23,1,0,1,8000,6,17,High School,Vehicle Theft,Total Loss,Other,Full,0.0,0
1123,1123,87,63,2000,1113,4,1,1,0,10000,10,42,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1124,1124,115,44,500,1615,3,1,1,1,2000,1,28,College,Single Vehicle Collision,Trivial Damage,Police,Full,0.0,0
1125,1125,29,34,1000,1532,15,1,0,1,1000,1,13,High School,Parked Car,Total Loss,Ambulance,Full,0.0,0
1126,1126,94,43,2000,966,20,1,1,0,8000,8,26,MD,Parked Car,Total Loss,Ambulance,Full,0.0,0
1127,1127,48,39,500,1487,8,3,1,0,5000,5,23,High School,Multi-vehicle Collision,Total Loss,Police,P2,0.0,0
1128,1128,19,53,2000,1492,14,3,1,1,1000,8,35,High School,Vehicle Theft,Major Damage,Ambulance,Full,0.0,0
1129,1129,67,30,1000,937,3,1,1,0,9000,9,12,High School,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1130,1130,109,47,1000,1329,12,2,1,1,10000,20,28,PhD,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1131,1131,49,52,1000,1378,5,1,0,1,10000,20,34,Bachelor,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1132,1132,30,41,2000,958,12,1,1,1,7000,2,22,MD,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
1133,1133,22,35,2000,1423,7,3,0,1,4000,18,17,JD,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
1134,1134,56,55,1000,1338,14,3,1,1,2000,1,38,Masters,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
1135,1135,51,27,1000,1083,0,1,1,0,2000,10,9,JD,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
1136,1136,78,30,2000,1217,21,1,1,1,6000,3,8,Associate,Vehicle Theft,Major Loss,Police,Full,0.0,0
1137,1137,70,25,500,1329,22,1,1,1,8000,7,6,MD,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
1138,1138,42,62,500,1486,20,1,1,1,2000,15,40,High School,Single Vehicle Collision,Minor Loss,,Full,0.0,0
1139,1139,92,63,1000,1263,5,1,0,0,7000,8,44,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1140,1140,61,44,2000,1047,21,1,1,1,2000,16,25,High School,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
1141,1141,73,31,1000,1039,23,1,1,0,8000,14,13,Masters,Multi-vehicle Collision,Minor Damage,Fire,Full,0.0,0
1142,1142,9,58,500,1143,19,3,0,0,9000,19,36,Masters,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1143,1143,105,31,500,858,14,1,1,0,10000,10,12,PhD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1144,1144,80,59,1000,1404,15,1,1,1,9000,16,39,High School,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1145,1145,32,60,500,1400,12,1,1,1,6000,6,43,High School,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
1146,1146,108,26,1000,1270,16,1,0,0,2000,7,8,Associate,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
1147,1147,31,44,500,1195,17,3,1,1,2000,8,25,Bachelor,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1148,1148,33,49,1000,1411,14,1,0,1,4000,8,27,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1149,1149,66,59,500,1304,5,1,1,1,8000,2,42,JD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
1150,1150,10,52,500,1583,9,1,1,1,7000,10,34,High School,Vehicle Theft,Minor Loss,Fire,Full,0.0,0
1151,1151,92,40,2000,1531,1,2,0,1,3000,2,23,High School,Multi-vehicle Collision,Total Loss,,Full,0.0,0
1152,1152,69,32,1000,1340,22,1,1,1,6000,18,12,High School,Multi-vehicle Collision,Minor Damage,,Full,0.0,0
1153,1153,66,44,500,1669,23,3,1,1,9000,1,26,JD,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
1154,1154,80,53,2000,987,9,1,1,0,10000,9,31,College,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1155,1155,29,28,1000,1096,23,4,1,1,8000,5,9,Masters,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
1156,1156,30,55,500,982,1,1,1,0,2000,3,39,High School,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
1157,1157,78,25,2000,1211,18,1,1,1,3000,16,6,High School,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1158,1158,42,28,500,1261,0,1,1,0,6000,14,10,PhD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1159,1159,52,42,1000,1327,20,3,0,1,8000,3,23,College,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1160,1160,105,42,1000,962,12,3,0,1,7000,12,26,Masters,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
1161,1161,86,39,2000,1507,5,1,1,0,7000,16,23,Bachelor,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
1162,1162,55,43,500,1182,16,1,0,1,5000,16,21,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1163,1163,108,61,500,1433,15,1,1,1,10000,2,45,High School,Parked Car,Total Loss,Police,Full,0.0,0
1164,1164,64,25,2000,845,23,1,1,1,6000,14,3,High School,Single Vehicle Collision,Major Loss,Fire,Full,0.0,0
1165,1165,28,44,2000,1086,10,1,0,1,2000,14,25,MD,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
1166,1166,11,45,1000,901,18,1,1,1,4000,18,23,Associate,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1167,1167,19,38,2000,1262,3,2,1,1,1000,10,20,MD,Multi-vehicle Collision,Major Loss,,Full,0.0,0
1168,1168,92,58,1000,1655,18,4,1,1,1000,9,39,Associate,Single Vehicle Collision,Minor Loss,Other,Full,0.0,0
1169,1169,111,48,1000,1119,13,1,1,1,2000,20,32,MD,Parked Car,Major Damage,Police,Full,0.0,0
1170,1170,68,29,500,890,5,2,0,1,1000,16,9,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
1171,1171,37,56,1000,1648,17,1,1,1,8000,11,40,College,Multi-vehicle Collision,Trivial Damage,,Full,0.0,0
1172,1172,71,38,500,1124,6,4,1,1,3000,6,17,Associate,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
1173,1173,86,55,1000,1660,20,2,0,1,9000,17,33,College,Vehicle Theft,Trivial Damage,,Full,0.0,0
1174,1174,119,57,1000,1243,23,4,1,0,7000,9,41,MD,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
1175,1175,38,49,2000,854,15,1,1,1,2000,2,28,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
1176,1176,8,51,2000,1021,23,4,0,1,5000,9,33,JD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
1177,1177,29,27,500,1534,8,3,0,0,5000,18,8,High School,Single Vehicle Collision,Minor Damage,Other,Full,0.0,0
1178,1178,109,63,1000,1613,6,1,1,0,10000,9,41,High School,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
1179,1179,20,50,2000,1248,20,1,1,1,9000,0,32,Bachelor,Single Vehicle Collision,Minor Loss,Other,Full,0.0,0
1180,1180,116,61,1000,1370,4,3,0,0,8000,12,42,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
1181,1181,82,35,500,1657,13,3,1,1,2000,20,14,Masters,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
1182,1182,8,60,1000,1362,10,1,1,1,10000,16,44,High School,Single Vehicle Collision,Major Damage,Other,Full,0.0,0
1183,1183,105,55,1000,1653,9,1,0,0,2000,12,39,High School,Vehicle Theft,Minor Damage,Ambulance,Full,0.0,1
1184,1184,14,36,500,1555,9,3,1,1,6000,19,20,Masters,Parked Car,Major Damage,Ambulance,Full,0.0,0
