ClaimsID,DriverID,InsuranceID,IncidentID,authoritiesInvolved,policeReportBool,totalClaimAmount,fraud,VehicleID
521,D521,In521,I521,Fire,0.0,77000,0,V521
522,D522,In522,I522,Ambulance,0.0,88110,0,V522
523,D523,In523,I523,Fire,1.0,47740,0,V523
524,D524,In524,I524,Fire,1.0,58960,0,V524
525,D525,In525,I525,Police,0.0,2160,0,V525
526,D526,In526,I526,Police,0.0,6890,0,V526
527,D527,In527,I527,Ambulance,1.0,78870,0,V527
528,D528,In528,I528,Police,0.0,2700,0,V528
529,D529,In529,I529,Ambulance,0.0,75960,0,V529
530,D530,In530,I530,Police,0.0,75570,1,V530
531,D531,In531,I531,Police,1.0,90240,0,V531
532,D532,In532,I532,Ambulance,0.0,80960,0,V532
533,D533,In533,I533,Other,1.0,79080,0,V533
534,D534,In534,I534,None,0.0,6820,0,V534
535,D535,In535,I535,Fire,1.0,62590,0,V535
536,D536,In536,I536,Other,1.0,52400,1,V536
537,D537,In537,I537,Ambulance,1.0,63580,0,V537
538,D538,In538,I538,Police,0.0,61400,0,V538
539,D539,In539,I539,None,0.0,4700,1,V539
540,D540,In540,I540,Fire,1.0,74140,0,V540
541,D541,In541,I541,Other,0.0,83160,0,V541
542,D542,In542,I542,Police,1.0,10790,0,V542
543,D543,In543,I543,Police,0.0,48070,0,V543
544,D544,In544,I544,Ambulance,1.0,51030,0,V544
545,D545,In545,I545,Fire,0.0,43280,1,V545
546,D546,In546,I546,Fire,0.0,76400,0,V546
547,D547,In547,I547,Ambulance,0.0,75460,0,V547
548,D548,In548,I548,Other,1.0,69000,1,V548
549,D549,In549,I549,Police,0.0,8640,0,V549
550,D550,In550,I550,Ambulance,0.0,67210,0,V550
551,D551,In551,I551,Ambulance,0.0,42500,0,V551
552,D552,In552,I552,Fire,0.0,86400,0,V552
553,D553,In553,I553,Police,0.0,4620,1,V553
554,D554,In554,I554,Police,0.0,6930,0,V554
555,D555,In555,I555,Other,1.0,41700,0,V555
556,D556,In556,I556,Other,0.0,77330,1,V556
557,D557,In557,I557,Police,1.0,4950,0,V557
558,D558,In558,I558,Police,1.0,5160,0,V558
559,D559,In559,I559,Fire,0.0,24570,1,V559
560,D560,In560,I560,Ambulance,0.0,53680,0,V560
561,D561,In561,I561,Police,1.0,42900,0,V561
562,D562,In562,I562,Fire,0.0,84100,1,V562
563,D563,In563,I563,Fire,0.0,61560,0,V563
564,D564,In564,I564,Police,0.0,44240,0,V564
565,D565,In565,I565,Ambulance,1.0,57700,0,V565
566,D566,In566,I566,Other,1.0,108030,0,V566
567,D567,In567,I567,Fire,1.0,54300,0,V567
568,D568,In568,I568,Ambulance,0.0,32280,1,V568
569,D569,In569,I569,Other,0.0,84600,0,V569
570,D570,In570,I570,Other,1.0,69700,0,V570
571,D571,In571,I571,Ambulance,0.0,36400,0,V571
572,D572,In572,I572,Police,1.0,37520,0,V572
573,D573,In573,I573,Ambulance,0.0,79090,0,V573
574,D574,In574,I574,Other,1.0,67770,1,V574
575,D575,In575,I575,Other,0.0,47400,1,V575
576,D576,In576,I576,Other,0.0,71100,0,V576
577,D577,In577,I577,Police,0.0,69400,0,V577
578,D578,In578,I578,Other,0.0,55000,1,V578
579,D579,In579,I579,Police,1.0,51090,0,V579
580,D580,In580,I580,Fire,0.0,64200,1,V580
581,D581,In581,I581,Other,1.0,67320,0,V581
582,D582,In582,I582,Other,0.0,76120,0,V582
583,D583,In583,I583,Ambulance,0.0,85020,0,V583
584,D584,In584,I584,Fire,0.0,68090,0,V584
585,D585,In585,I585,Police,0.0,6030,0,V585
586,D586,In586,I586,None,0.0,5100,0,V586
587,D587,In587,I587,Police,1.0,4590,0,V587
588,D588,In588,I588,Other,0.0,72400,1,V588
589,D589,In589,I589,Fire,0.0,70900,0,V589
590,D590,In590,I590,Other,1.0,65100,0,V590
591,D591,In591,I591,Ambulance,1.0,64260,0,V591
592,D592,In592,I592,Ambulance,0.0,79970,1,V592
593,D593,In593,I593,Police,0.0,56610,0,V593
594,D594,In594,I594,Fire,0.0,84590,1,V594
595,D595,In595,I595,Fire,1.0,66780,0,V595
596,D596,In596,I596,Police,1.0,58500,0,V596
597,D597,In597,I597,Police,0.0,5000,0,V597
598,D598,In598,I598,Police,0.0,5000,1,V598
599,D599,In599,I599,Ambulance,1.0,54450,0,V599
600,D600,In600,I600,Police,0.0,61920,0,V600
601,D601,In601,I601,Ambulance,0.0,43700,1,V601
602,D602,In602,I602,Other,0.0,64080,0,V602
603,D603,In603,I603,Other,0.0,55000,1,V603
604,D604,In604,I604,Police,0.0,4400,0,V604
605,D605,In605,I605,Police,1.0,71640,0,V605
606,D606,In606,I606,Other,0.0,61740,0,V606
607,D607,In607,I607,Ambulance,0.0,57500,0,V607
608,D608,In608,I608,Police,0.0,8700,0,V608
609,D609,In609,I609,Police,0.0,77100,0,V609
610,D610,In610,I610,Police,1.0,59400,0,V610
611,D611,In611,I611,Fire,0.0,54890,0,V611
612,D612,In612,I612,Other,0.0,74030,0,V612
613,D613,In613,I613,Other,1.0,61490,0,V613
614,D614,In614,I614,Police,1.0,79560,0,V614
615,D615,In615,I615,Police,0.0,4900,0,V615
616,D616,In616,I616,Other,0.0,77770,0,V616
617,D617,In617,I617,Fire,0.0,74700,1,V617
618,D618,In618,I618,Police,0.0,40600,0,V618
619,D619,In619,I619,Ambulance,0.0,45270,0,V619
620,D620,In620,I620,Ambulance,0.0,47080,0,V620
621,D621,In621,I621,Police,0.0,40700,1,V621
622,D622,In622,I622,Police,1.0,34650,0,V622
623,D623,In623,I623,Police,0.0,3200,0,V623
624,D624,In624,I624,Fire,0.0,78980,1,V624
625,D625,In625,I625,None,0.0,6160,0,V625
626,D626,In626,I626,Ambulance,0.0,85250,0,V626
627,D627,In627,I627,Fire,0.0,72840,0,V627
628,D628,In628,I628,Police,0.0,6050,0,V628
629,D629,In629,I629,Fire,1.0,87890,1,V629
630,D630,In630,I630,Other,1.0,60500,1,V630
631,D631,In631,I631,Fire,0.0,88220,0,V631
632,D632,In632,I632,Other,0.0,53680,0,V632
633,D633,In633,I633,Fire,0.0,53800,0,V633
634,D634,In634,I634,Police,0.0,54360,1,V634
635,D635,In635,I635,Police,1.0,54340,0,V635
636,D636,In636,I636,None,1.0,2860,1,V636
637,D637,In637,I637,Police,1.0,5490,0,V637
638,D638,In638,I638,Police,0.0,7370,0,V638
639,D639,In639,I639,Ambulance,0.0,50800,1,V639
640,D640,In640,I640,Fire,0.0,41520,0,V640
641,D641,In641,I641,Police,1.0,89650,0,V641
642,D642,In642,I642,Police,0.0,39690,0,V642
643,D643,In643,I643,Ambulance,0.0,62260,0,V643
644,D644,In644,I644,Police,1.0,51920,1,V644
645,D645,In645,I645,Other,0.0,53460,0,V645
646,D646,In646,I646,Fire,1.0,57100,0,V646
647,D647,In647,I647,Ambulance,0.0,77440,0,V647
648,D648,In648,I648,Ambulance,0.0,68300,0,V648
649,D649,In649,I649,None,0.0,5060,0,V649
650,D650,In650,I650,Ambulance,0.0,59400,1,V650
651,D651,In651,I651,Ambulance,0.0,69930,1,V651
652,D652,In652,I652,Police,0.0,77700,0,V652
653,D653,In653,I653,Other,0.0,68750,1,V653
654,D654,In654,I654,Police,1.0,91080,0,V654
655,D655,In655,I655,Other,1.0,48360,0,V655
656,D656,In656,I656,Other,1.0,95000,0,V656
657,D657,In657,I657,Police,0.0,3900,0,V657
658,D658,In658,I658,Other,0.0,59400,1,V658
659,D659,In659,I659,Fire,0.0,60210,0,V659
660,D660,In660,I660,Ambulance,1.0,43600,0,V660
661,D661,In661,I661,Police,0.0,62800,0,V661
662,D662,In662,I662,Ambulance,0.0,59500,0,V662
663,D663,In663,I663,Police,0.0,53460,0,V663
664,D664,In664,I664,Ambulance,0.0,41690,0,V664
665,D665,In665,I665,Ambulance,1.0,63100,0,V665
666,D666,In666,I666,Ambulance,0.0,62880,1,V666
667,D667,In667,I667,Fire,1.0,75400,1,V667
668,D668,In668,I668,Ambulance,0.0,46200,0,V668
669,D669,In669,I669,Ambulance,1.0,58500,0,V669
670,D670,In670,I670,Other,0.0,66240,0,V670
671,D671,In671,I671,Ambulance,0.0,65440,0,V671
672,D672,In672,I672,Fire,0.0,64200,0,V672
673,D673,In673,I673,Ambulance,0.0,32320,0,V673
674,D674,In674,I674,Police,0.0,33480,0,V674
675,D675,In675,I675,None,1.0,4320,0,V675
676,D676,In676,I676,Police,0.0,4200,0,V676
677,D677,In677,I677,Ambulance,0.0,57970,0,V677
678,D678,In678,I678,None,0.0,4320,0,V678
679,D679,In679,I679,Fire,0.0,69300,0,V679
680,D680,In680,I680,Police,0.0,32480,0,V680
681,D681,In681,I681,Police,1.0,60480,0,V681
682,D682,In682,I682,Police,0.0,2640,0,V682
683,D683,In683,I683,Police,0.0,6050,0,V683
684,D684,In684,I684,Ambulance,0.0,42700,1,V684
685,D685,In685,I685,Ambulance,0.0,40260,1,V685
686,D686,In686,I686,Fire,0.0,50000,0,V686
687,D687,In687,I687,None,0.0,3840,0,V687
688,D688,In688,I688,Police,0.0,95900,0,V688
689,D689,In689,I689,Ambulance,1.0,56160,0,V689
690,D690,In690,I690,Police,0.0,63030,0,V690
691,D691,In691,I691,Police,0.0,63470,0,V691
692,D692,In692,I692,Police,0.0,44440,1,V692
693,D693,In693,I693,Police,0.0,6600,0,V693
694,D694,In694,I694,Ambulance,1.0,77200,0,V694
695,D695,In695,I695,Other,1.0,57000,0,V695
696,D696,In696,I696,Police,0.0,2700,0,V696
697,D697,In697,I697,Police,1.0,47300,0,V697
698,D698,In698,I698,Other,0.0,55110,0,V698
699,D699,In699,I699,Police,0.0,4320,0,V699
700,D700,In700,I700,Police,0.0,68760,1,V700
701,D701,In701,I701,Other,0.0,74400,1,V701
702,D702,In702,I702,Fire,0.0,35300,1,V702
703,D703,In703,I703,None,0.0,2640,0,V703
704,D704,In704,I704,Ambulance,0.0,60190,1,V704
705,D705,In705,I705,Fire,0.0,41580,1,V705
706,D706,In706,I706,Ambulance,0.0,58500,1,V706
707,D707,In707,I707,Fire,1.0,79320,0,V707
708,D708,In708,I708,Ambulance,0.0,82610,1,V708
709,D709,In709,I709,Ambulance,0.0,78600,1,V709
710,D710,In710,I710,Ambulance,0.0,51390,1,V710
711,D711,In711,I711,Ambulance,0.0,70200,1,V711
712,D712,In712,I712,None,0.0,4900,0,V712
713,D713,In713,I713,Other,0.0,66480,1,V713
714,D714,In714,I714,Fire,0.0,50380,1,V714
715,D715,In715,I715,Fire,0.0,64350,0,V715
716,D716,In716,I716,Ambulance,1.0,55400,1,V716
717,D717,In717,I717,Other,1.0,49900,0,V717
718,D718,In718,I718,Ambulance,1.0,74880,0,V718
719,D719,In719,I719,Other,1.0,105820,0,V719
720,D720,In720,I720,Police,1.0,7150,0,V720
721,D721,In721,I721,Ambulance,0.0,55800,0,V721
722,D722,In722,I722,None,1.0,5830,0,V722
723,D723,In723,I723,Ambulance,0.0,85900,1,V723
724,D724,In724,I724,Police,0.0,7110,0,V724
725,D725,In725,I725,Fire,1.0,36960,0,V725
726,D726,In726,I726,Police,1.0,64400,0,V726
727,D727,In727,I727,None,1.0,1920,0,V727
728,D728,In728,I728,Police,1.0,86130,1,V728
729,D729,In729,I729,Fire,0.0,82170,1,V729
730,D730,In730,I730,Fire,1.0,50300,1,V730
731,D731,In731,I731,Police,0.0,44200,0,V731
732,D732,In732,I732,Ambulance,1.0,66660,0,V732
733,D733,In733,I733,Ambulance,0.0,78320,0,V733
734,D734,In734,I734,Fire,0.0,105040,0,V734
735,D735,In735,I735,Fire,0.0,50700,0,V735
736,D736,In736,I736,Fire,0.0,51210,0,V736
737,D737,In737,I737,Fire,0.0,51840,0,V737
738,D738,In738,I738,Ambulance,1.0,52800,0,V738
739,D739,In739,I739,Fire,1.0,55200,0,V739
740,D740,In740,I740,None,0.0,9100,0,V740
741,D741,In741,I741,Other,0.0,67600,0,V741
742,D742,In742,I742,Other,0.0,40800,0,V742
743,D743,In743,I743,Other,1.0,84500,1,V743
744,D744,In744,I744,Other,1.0,71610,1,V744
745,D745,In745,I745,Other,0.0,60600,1,V745
746,D746,In746,I746,Fire,0.0,81240,1,V746
747,D747,In747,I747,Fire,0.0,29300,0,V747
748,D748,In748,I748,Fire,1.0,76450,0,V748
749,D749,In749,I749,Fire,0.0,49400,0,V749
750,D750,In750,I750,Ambulance,0.0,90530,0,V750
751,D751,In751,I751,Police,0.0,8030,0,V751
752,D752,In752,I752,Fire,1.0,63900,0,V752
753,D753,In753,I753,Fire,0.0,38640,0,V753
754,D754,In754,I754,Other,1.0,41490,0,V754
755,D755,In755,I755,Fire,0.0,79090,0,V755
756,D756,In756,I756,Police,0.0,87900,0,V756
757,D757,In757,I757,Ambulance,1.0,53400,0,V757
758,D758,In758,I758,Fire,0.0,52030,0,V758
759,D759,In759,I759,Ambulance,0.0,82060,0,V759
760,D760,In760,I760,Ambulance,0.0,48360,0,V760
761,D761,In761,I761,Other,0.0,52290,0,V761
762,D762,In762,I762,Police,0.0,68200,1,V762
763,D763,In763,I763,Other,0.0,60750,1,V763
764,D764,In764,I764,Fire,1.0,65560,1,V764
765,D765,In765,I765,Police,0.0,70290,0,V765
766,D766,In766,I766,Ambulance,1.0,45000,0,V766
767,D767,In767,I767,Fire,0.0,61800,0,V767
768,D768,In768,I768,Ambulance,0.0,64570,0,V768
769,D769,In769,I769,Other,1.0,70500,0,V769
770,D770,In770,I770,Police,1.0,57900,0,V770
771,D771,In771,I771,Fire,0.0,57860,0,V771
772,D772,In772,I772,Fire,0.0,37800,0,V772
773,D773,In773,I773,Ambulance,1.0,63300,0,V773
774,D774,In774,I774,Ambulance,1.0,44200,0,V774
775,D775,In775,I775,Police,1.0,31680,0,V775
776,D776,In776,I776,Police,0.0,100,0,V776
777,D777,In777,I777,Fire,0.0,56340,0,V777
778,D778,In778,I778,Police,1.0,69740,0,V778
779,D779,In779,I779,Police,1.0,60480,0,V779
780,D780,In780,I780,Police,0.0,80880,0,V780
781,D781,In781,I781,Fire,1.0,49390,0,V781
782,D782,In782,I782,Ambulance,0.0,69360,0,V782
783,D783,In783,I783,None,0.0,3740,0,V783
784,D784,In784,I784,None,0.0,5060,0,V784
785,D785,In785,I785,Police,1.0,35860,1,V785
786,D786,In786,I786,Ambulance,0.0,50050,1,V786
787,D787,In787,I787,Fire,0.0,59070,0,V787
788,D788,In788,I788,Fire,0.0,28440,0,V788
789,D789,In789,I789,Fire,1.0,45540,1,V789
790,D790,In790,I790,Fire,1.0,38700,0,V790
791,D791,In791,I791,None,1.0,5830,0,V791
792,D792,In792,I792,Other,0.0,57240,1,V792
793,D793,In793,I793,Police,0.0,46200,0,V793
794,D794,In794,I794,Ambulance,0.0,57700,0,V794
795,D795,In795,I795,Fire,0.0,56160,0,V795
796,D796,In796,I796,Fire,1.0,44400,0,V796
797,D797,In797,I797,Ambulance,0.0,92730,1,V797
798,D798,In798,I798,Fire,1.0,30700,0,V798
799,D799,In799,I799,Fire,0.0,56600,0,V799
800,D800,In800,I800,None,0.0,3960,0,V800
801,D801,In801,I801,Police,0.0,34800,0,V801
802,D802,In802,I802,Other,1.0,79500,0,V802
803,D803,In803,I803,Police,0.0,56000,0,V803
804,D804,In804,I804,Ambulance,1.0,73260,1,V804
805,D805,In805,I805,None,1.0,4950,0,V805
806,D806,In806,I806,Ambulance,0.0,48000,0,V806
807,D807,In807,I807,Fire,1.0,52200,0,V807
808,D808,In808,I808,Ambulance,0.0,73800,0,V808
809,D809,In809,I809,Fire,0.0,78200,0,V809
810,D810,In810,I810,Ambulance,0.0,55200,1,V810
811,D811,In811,I811,Other,1.0,57060,0,V811
812,D812,In812,I812,None,1.0,4680,0,V812
813,D813,In813,I813,Ambulance,1.0,53100,1,V813
814,D814,In814,I814,None,0.0,3520,0,V814
815,D815,In815,I815,Ambulance,1.0,72900,0,V815
816,D816,In816,I816,Police,0.0,70700,0,V816
817,D817,In817,I817,Other,0.0,60170,0,V817
818,D818,In818,I818,Other,0.0,74800,1,V818
819,D819,In819,I819,Police,0.0,4100,0,V819
820,D820,In820,I820,Other,0.0,61490,0,V820
821,D821,In821,I821,None,0.0,7200,0,V821
822,D822,In822,I822,Fire,0.0,45100,0,V822
823,D823,In823,I823,Police,1.0,66660,0,V823
824,D824,In824,I824,Police,1.0,76400,1,V824
825,D825,In825,I825,Ambulance,0.0,58300,0,V825
826,D826,In826,I826,Police,0.0,57310,0,V826
827,D827,In827,I827,Fire,0.0,53100,0,V827
828,D828,In828,I828,Ambulance,0.0,74700,0,V828
829,D829,In829,I829,Fire,0.0,60500,0,V829
830,D830,In830,I830,Other,0.0,84920,1,V830
831,D831,In831,I831,Police,0.0,61050,0,V831
832,D832,In832,I832,Police,0.0,69080,1,V832
833,D833,In833,I833,None,1.0,4560,0,V833
834,D834,In834,I834,Police,0.0,67800,0,V834
835,D835,In835,I835,Police,1.0,5600,0,V835
836,D836,In836,I836,None,0.0,9000,0,V836
837,D837,In837,I837,Police,1.0,85320,0,V837
838,D838,In838,I838,None,1.0,5940,1,V838
839,D839,In839,I839,Fire,0.0,51370,1,V839
840,D840,In840,I840,Police,1.0,51600,0,V840
841,D841,In841,I841,None,0.0,5400,0,V841
842,D842,In842,I842,Fire,1.0,48870,0,V842
843,D843,In843,I843,Police,0.0,5590,0,V843
844,D844,In844,I844,Other,0.0,54960,1,V844
845,D845,In845,I845,Police,0.0,39800,0,V845
846,D846,In846,I846,Ambulance,0.0,56160,1,V846
847,D847,In847,I847,Fire,0.0,52700,0,V847
848,D848,In848,I848,Fire,0.0,68580,0,V848
849,D849,In849,I849,Ambulance,1.0,90860,1,V849
850,D850,In850,I850,Police,0.0,5700,0,V850
851,D851,In851,I851,Police,1.0,94930,0,V851
852,D852,In852,I852,Ambulance,0.0,46800,1,V852
853,D853,In853,I853,Fire,0.0,56320,0,V853
854,D854,In854,I854,Fire,1.0,83490,0,V854
855,D855,In855,I855,Police,0.0,57900,0,V855
856,D856,In856,I856,Fire,1.0,49410,0,V856
857,D857,In857,I857,Fire,0.0,66200,0,V857
858,D858,In858,I858,Fire,0.0,64080,0,V858
859,D859,In859,I859,Other,1.0,42500,0,V859
860,D860,In860,I860,Other,0.0,48950,0,V860
861,D861,In861,I861,Other,1.0,58850,0,V861
862,D862,In862,I862,Other,1.0,82400,0,V862
863,D863,In863,I863,Ambulance,0.0,54240,0,V863
864,D864,In864,I864,Other,0.0,74200,0,V864
865,D865,In865,I865,Fire,0.0,47430,0,V865
866,D866,In866,I866,Fire,1.0,68200,1,V866
867,D867,In867,I867,Fire,0.0,63900,0,V867
868,D868,In868,I868,Ambulance,1.0,59300,0,V868
869,D869,In869,I869,Other,1.0,66900,1,V869
870,D870,In870,I870,Police,0.0,40810,1,V870
871,D871,In871,I871,Fire,0.0,75400,0,V871
872,D872,In872,I872,None,1.0,4200,0,V872
873,D873,In873,I873,Ambulance,1.0,52650,1,V873
874,D874,In874,I874,Ambulance,1.0,42240,0,V874
875,D875,In875,I875,Other,1.0,59490,0,V875
876,D876,In876,I876,Ambulance,0.0,44200,1,V876
877,D877,In877,I877,Police,0.0,7700,0,V877
878,D878,In878,I878,Other,0.0,61440,0,V878
879,D879,In879,I879,Fire,0.0,54400,1,V879
880,D880,In880,I880,Other,0.0,58560,0,V880
881,D881,In881,I881,Fire,0.0,67300,1,V881
882,D882,In882,I882,Fire,1.0,36740,1,V882
883,D883,In883,I883,Police,0.0,85690,0,V883
884,D884,In884,I884,Ambulance,0.0,34160,1,V884
885,D885,In885,I885,Fire,0.0,61320,0,V885
886,D886,In886,I886,Police,0.0,79680,0,V886
887,D887,In887,I887,Fire,1.0,61740,0,V887
888,D888,In888,I888,None,0.0,6400,0,V888
889,D889,In889,I889,Fire,1.0,60600,0,V889
890,D890,In890,I890,Ambulance,0.0,56320,0,V890
891,D891,In891,I891,Ambulance,0.0,52250,0,V891
892,D892,In892,I892,Other,0.0,53900,0,V892
893,D893,In893,I893,None,0.0,2640,0,V893
894,D894,In894,I894,None,0.0,8970,0,V894
895,D895,In895,I895,None,0.0,6000,0,V895
896,D896,In896,I896,Fire,0.0,55200,1,V896
897,D897,In897,I897,None,1.0,7260,0,V897
898,D898,In898,I898,Police,0.0,64680,0,V898
899,D899,In899,I899,Police,0.0,59200,0,V899
900,D900,In900,I900,None,0.0,4700,0,V900
901,D901,In901,I901,Other,0.0,69400,0,V901
902,D902,In902,I902,Police,0.0,40500,0,V902
903,D903,In903,I903,Fire,0.0,60000,0,V903
904,D904,In904,I904,Other,0.0,67320,0,V904
905,D905,In905,I905,Other,1.0,75690,0,V905
906,D906,In906,I906,Fire,0.0,64300,1,V906
907,D907,In907,I907,Police,1.0,64400,0,V907
908,D908,In908,I908,Fire,0.0,97080,0,V908
909,D909,In909,I909,Police,0.0,5500,0,V909
910,D910,In910,I910,Other,0.0,30700,0,V910
911,D911,In911,I911,Police,1.0,33480,0,V911
912,D912,In912,I912,Police,1.0,65430,0,V912
913,D913,In913,I913,Police,1.0,42680,1,V913
914,D914,In914,I914,Fire,0.0,87780,0,V914
915,D915,In915,I915,Fire,1.0,72800,0,V915
916,D916,In916,I916,Fire,0.0,71190,1,V916
917,D917,In917,I917,None,1.0,3600,0,V917
918,D918,In918,I918,Other,0.0,62640,0,V918
919,D919,In919,I919,Ambulance,0.0,69630,0,V919
920,D920,In920,I920,Police,0.0,76010,1,V920
921,D921,In921,I921,Other,1.0,44220,0,V921
922,D922,In922,I922,Other,0.0,57200,0,V922
923,D923,In923,I923,Police,0.0,3080,0,V923
924,D924,In924,I924,Other,1.0,75790,0,V924
925,D925,In925,I925,Ambulance,0.0,32670,0,V925
926,D926,In926,I926,Police,0.0,3870,0,V926
927,D927,In927,I927,Fire,1.0,91520,1,V927
928,D928,In928,I928,Other,1.0,74690,1,V928
929,D929,In929,I929,Police,0.0,4620,0,V929
930,D930,In930,I930,Police,0.0,55000,1,V930
931,D931,In931,I931,Police,0.0,59400,1,V931
932,D932,In932,I932,Fire,0.0,55260,0,V932
933,D933,In933,I933,Other,1.0,51400,0,V933
934,D934,In934,I934,Ambulance,0.0,48780,0,V934
935,D935,In935,I935,Ambulance,0.0,52380,0,V935
936,D936,In936,I936,Other,1.0,74360,1,V936
937,D937,In937,I937,Police,0.0,53400,0,V937
938,D938,In938,I938,Police,1.0,71800,0,V938
939,D939,In939,I939,Other,0.0,68240,1,V939
940,D940,In940,I940,Other,0.0,61050,1,V940
941,D941,In941,I941,None,1.0,5590,0,V941
942,D942,In942,I942,Fire,0.0,46860,0,V942
943,D943,In943,I943,None,0.0,4290,0,V943
944,D944,In944,I944,Police,0.0,78500,0,V944
945,D945,In945,I945,Police,1.0,70830,0,V945
946,D946,In946,I946,Police,0.0,68040,0,V946
947,D947,In947,I947,Fire,0.0,63600,1,V947
948,D948,In948,I948,Other,0.0,43560,0,V948
949,D949,In949,I949,Police,0.0,60840,0,V949
950,D950,In950,I950,Police,1.0,68160,0,V950
951,D951,In951,I951,None,0.0,5170,0,V951
952,D952,In952,I952,Ambulance,0.0,57700,0,V952
953,D953,In953,I953,Other,0.0,89520,0,V953
954,D954,In954,I954,None,1.0,4620,0,V954
955,D955,In955,I955,Ambulance,0.0,45180,0,V955
956,D956,In956,I956,Other,0.0,45100,0,V956
957,D957,In957,I957,Police,1.0,83160,0,V957
958,D958,In958,I958,Police,0.0,86130,0,V958
959,D959,In959,I959,Fire,0.0,48000,0,V959
960,D960,In960,I960,Police,1.0,3300,0,V960
961,D961,In961,I961,Ambulance,1.0,57200,0,V961
962,D962,In962,I962,Police,0.0,7590,0,V962
963,D963,In963,I963,Police,0.0,80080,0,V963
964,D964,In964,I964,Police,1.0,4800,0,V964
965,D965,In965,I965,Police,1.0,3900,1,V965
966,D966,In966,I966,Other,0.0,90400,0,V966
967,D967,In967,I967,Other,0.0,62900,0,V967
968,D968,In968,I968,Police,0.0,54200,1,V968
969,D969,In969,I969,Police,1.0,51800,0,V969
970,D970,In970,I970,Police,0.0,6600,0,V970
971,D971,In971,I971,Fire,1.0,74140,0,V971
972,D972,In972,I972,Fire,0.0,67800,0,V972
973,D973,In973,I973,Fire,1.0,55400,1,V973
974,D974,In974,I974,Ambulance,0.0,49100,1,V974
975,D975,In975,I975,Police,0.0,98280,1,V975
976,D976,In976,I976,Fire,0.0,66550,0,V976
977,D977,In977,I977,Fire,0.0,70400,0,V977
978,D978,In978,I978,Ambulance,0.0,53280,1,V978
979,D979,In979,I979,Other,1.0,84590,0,V979
980,D980,In980,I980,Other,1.0,54560,0,V980
981,D981,In981,I981,Ambulance,1.0,82170,0,V981
982,D982,In982,I982,Police,0.0,61100,0,V982
983,D983,In983,I983,Police,1.0,51900,1,V983
984,D984,In984,I984,Police,0.0,3440,0,V984
985,D985,In985,I985,Ambulance,0.0,51390,0,V985
986,D986,In986,I986,Other,0.0,76900,0,V986
987,D987,In987,I987,Other,0.0,77000,1,V987
988,D988,In988,I988,Other,0.0,60320,1,V988
989,D989,In989,I989,Fire,0.0,60700,0,V989
990,D990,In990,I990,Police,0.0,53280,0,V990
991,D991,In991,I991,Fire,1.0,34290,0,V991
992,D992,In992,I992,Other,0.0,46980,0,V992
993,D993,In993,I993,Fire,1.0,36700,0,V993
994,D994,In994,I994,Other,0.0,60200,0,V994
995,D995,In995,I995,None,1.0,6480,0,V995
996,D996,In996,I996,Fire,0.0,87200,0,V996
997,D997,In997,I997,Fire,0.0,108480,0,V997
998,D998,In998,I998,Police,1.0,67500,0,V998
999,D999,In999,I999,Other,1.0,46980,0,V999
1000,D1000,In1000,I1000,Police,0.0,5060,0,V1000
1001,D1001,In1001,I1001,Police,1.0,8000,0,V1001
1002,D1002,In1002,I1002,Police,1.0,5000,0,V1002
1003,D1003,In1003,I1003,Ambulance,1.0,8000,1,V1003
1004,D1004,In1004,I1004,Police,1.0,9000,0,V1004
1005,D1005,In1005,I1005,Ambulance,1.0,8000,0,V1005
1006,D1006,In1006,I1006,Police,1.0,2000,0,V1006
1007,D1007,In1007,I1007,Police,0.0,7000,1,V1007
1008,D1008,In1008,I1008,Ambulance,0.0,10000,0,V1008
1009,D1009,In1009,I1009,Ambulance,0.0,9000,0,V1009
1010,D1010,In1010,I1010,Police,1.0,2000,0,V1010
1011,D1011,In1011,I1011,Police,1.0,7000,0,V1011
1012,D1012,In1012,I1012,None,1.0,6000,0,V1012
1013,D1013,In1013,I1013,Police,1.0,1000,0,V1013
1014,D1014,In1014,I1014,None,1.0,10000,0,V1014
1015,D1015,In1015,I1015,Ambulance,1.0,9000,0,V1015
1016,D1016,In1016,I1016,Ambulance,1.0,1000,0,V1016
1017,D1017,In1017,I1017,None,1.0,7000,0,V1017
1018,D1018,In1018,I1018,Ambulance,1.0,6000,0,V1018
1019,D1019,In1019,I1019,Police,1.0,3000,0,V1019
1020,D1020,In1020,I1020,Other,0.0,5000,0,V1020
1021,D1021,In1021,I1021,None,1.0,5000,0,V1021
1022,D1022,In1022,I1022,Police,1.0,4000,0,V1022
1023,D1023,In1023,I1023,Police,1.0,4000,0,V1023
1024,D1024,In1024,I1024,Ambulance,1.0,1000,0,V1024
1025,D1025,In1025,I1025,None,1.0,4000,0,V1025
1026,D1026,In1026,I1026,Other,0.0,7000,0,V1026
1027,D1027,In1027,I1027,Other,0.0,3000,0,V1027
1028,D1028,In1028,I1028,None,0.0,5000,0,V1028
1029,D1029,In1029,I1029,Other,1.0,1000,0,V1029
1030,D1030,In1030,I1030,Other,1.0,5000,0,V1030
1031,D1031,In1031,I1031,Ambulance,1.0,1000,0,V1031
1032,D1032,In1032,I1032,Other,1.0,5000,0,V1032
1033,D1033,In1033,I1033,None,1.0,6000,1,V1033
1034,D1034,In1034,I1034,Ambulance,1.0,4000,0,V1034
