IncidentID,accidentType,incidentSeverity,incidentTime,numVehiclesInvolved,numBodilyInjuries
I431,Multi-vehicle Collision,Total Loss,16.0,4.0,1.0
I432,Multi-vehicle Collision,Total Loss,23.0,3.0,0.0
I433,Single Vehicle Collision,Major Damage,21.0,1.0,1.0
I434,Single Vehicle Collision,Minor Damage,10.0,1.0,2.0
I435,Single Vehicle Collision,Major Damage,12.0,1.0,0.0
I436,Single Vehicle Collision,Total Loss,6.0,1.0,1.0
I437,Single Vehicle Collision,Major Damage,6.0,1.0,1.0
I438,Parked Car,Trivial Damage,7.0,1.0,2.0
I439,Vehicle Theft,Trivial Damage,3.0,1.0,1.0
I440,Parked Car,Trivial Damage,10.0,1.0,2.0
I441,Single Vehicle Collision,Total Loss,14.0,1.0,0.0
I442,Multi-vehicle Collision,Total Loss,17.0,3.0,0.0
I443,Single Vehicle Collision,Major Damage,16.0,1.0,0.0
I444,Parked Car,Minor Damage,3.0,1.0,2.0
I445,Parked Car,Minor Damage,7.0,1.0,0.0
I446,Single Vehicle Collision,Total Loss,13.0,1.0,1.0
I447,Single Vehicle Collision,Total Loss,20.0,1.0,2.0
I448,Single Vehicle Collision,Minor Damage,23.0,1.0,2.0
I449,Single Vehicle Collision,Total Loss,11.0,1.0,1.0
I450,Multi-vehicle Collision,Major Damage,0.0,4.0,0.0
I451,Single Vehicle Collision,Minor Damage,2.0,1.0,0.0
I452,Single Vehicle Collision,Total Loss,3.0,1.0,2.0
I453,Parked Car,Trivial Damage,3.0,1.0,1.0
I454,Multi-vehicle Collision,Total Loss,15.0,3.0,2.0
I455,Single Vehicle Collision,Minor Damage,23.0,1.0,2.0
I456,Multi-vehicle Collision,Minor Damage,9.0,3.0,2.0
I457,Vehicle Theft,Minor Damage,20.0,1.0,0.0
I458,Single Vehicle Collision,Major Damage,5.0,1.0,2.0
I459,Single Vehicle Collision,Total Loss,15.0,1.0,0.0
I460,Single Vehicle Collision,Minor Damage,13.0,1.0,2.0
I461,Single Vehicle Collision,Minor Damage,16.0,1.0,2.0
I462,Single Vehicle Collision,Minor Damage,0.0,1.0,0.0
I463,Multi-vehicle Collision,Major Damage,10.0,3.0,2.0
I464,Multi-vehicle Collision,Total Loss,14.0,3.0,2.0
I465,Multi-vehicle Collision,Total Loss,1.0,3.0,2.0
I466,Single Vehicle Collision,Major Damage,16.0,1.0,2.0
I467,Multi-vehicle Collision,Major Damage,2.0,3.0,0.0
I468,Multi-vehicle Collision,Major Damage,23.0,3.0,0.0
I469,Multi-vehicle Collision,Minor Damage,19.0,3.0,2.0
I470,Multi-vehicle Collision,Minor Damage,23.0,3.0,2.0
I471,Single Vehicle Collision,Major Damage,10.0,1.0,2.0
I472,Multi-vehicle Collision,Minor Damage,12.0,3.0,1.0
I473,Multi-vehicle Collision,Total Loss,15.0,3.0,2.0
I474,Vehicle Theft,Trivial Damage,3.0,1.0,1.0
I475,Parked Car,Minor Damage,19.0,1.0,2.0
I476,Multi-vehicle Collision,Total Loss,16.0,3.0,1.0
I477,Single Vehicle Collision,Major Damage,16.0,1.0,0.0
I478,Single Vehicle Collision,Total Loss,10.0,1.0,0.0
I479,Vehicle Theft,Minor Damage,6.0,1.0,1.0
I480,Single Vehicle Collision,Major Damage,18.0,1.0,2.0
I481,Multi-vehicle Collision,Major Damage,20.0,3.0,0.0
I482,Single Vehicle Collision,Minor Damage,14.0,1.0,0.0
I483,Multi-vehicle Collision,Major Damage,8.0,3.0,0.0
I484,Multi-vehicle Collision,Minor Damage,17.0,2.0,2.0
I485,Single Vehicle Collision,Minor Damage,9.0,1.0,2.0
I486,Single Vehicle Collision,Total Loss,0.0,1.0,2.0
I487,Single Vehicle Collision,Total Loss,2.0,1.0,0.0
I488,Multi-vehicle Collision,Minor Damage,23.0,3.0,0.0
I489,Single Vehicle Collision,Total Loss,8.0,1.0,0.0
I490,Multi-vehicle Collision,Total Loss,6.0,3.0,0.0
I491,Vehicle Theft,Minor Damage,3.0,1.0,1.0
I492,Multi-vehicle Collision,Minor Damage,14.0,3.0,1.0
I493,Multi-vehicle Collision,Major Damage,16.0,3.0,0.0
I494,Single Vehicle Collision,Minor Damage,12.0,1.0,1.0
I495,Multi-vehicle Collision,Major Damage,1.0,3.0,2.0
I496,Single Vehicle Collision,Minor Damage,19.0,1.0,0.0
I497,Vehicle Theft,Trivial Damage,7.0,1.0,1.0
I498,Multi-vehicle Collision,Minor Damage,6.0,4.0,1.0
I499,Single Vehicle Collision,Major Damage,11.0,1.0,0.0
I500,Single Vehicle Collision,Minor Damage,2.0,1.0,1.0
I501,Single Vehicle Collision,Minor Damage,15.0,1.0,2.0
I502,Single Vehicle Collision,Major Damage,0.0,1.0,0.0
I503,Single Vehicle Collision,Major Damage,12.0,1.0,1.0
I504,Single Vehicle Collision,Total Loss,1.0,1.0,1.0
I505,Multi-vehicle Collision,Major Damage,16.0,2.0,1.0
I506,Single Vehicle Collision,Minor Damage,2.0,1.0,2.0
I507,Multi-vehicle Collision,Minor Damage,13.0,3.0,2.0
I508,Single Vehicle Collision,Minor Damage,0.0,1.0,2.0
I509,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I510,Multi-vehicle Collision,Total Loss,16.0,3.0,2.0
I511,Single Vehicle Collision,Total Loss,8.0,1.0,2.0
I512,Parked Car,Trivial Damage,9.0,1.0,2.0
I513,Single Vehicle Collision,Total Loss,11.0,1.0,2.0
I514,Multi-vehicle Collision,Minor Damage,6.0,3.0,0.0
I515,Single Vehicle Collision,Total Loss,18.0,1.0,0.0
I516,Single Vehicle Collision,Total Loss,11.0,1.0,0.0
I517,Single Vehicle Collision,Total Loss,17.0,1.0,1.0
I518,Multi-vehicle Collision,Major Damage,21.0,3.0,1.0
I519,Multi-vehicle Collision,Minor Damage,0.0,3.0,1.0
I520,Vehicle Theft,Trivial Damage,9.0,1.0,0.0
I521,Single Vehicle Collision,Total Loss,1.0,1.0,0.0
I522,Single Vehicle Collision,Total Loss,22.0,1.0,1.0
I523,Multi-vehicle Collision,Minor Damage,20.0,4.0,0.0
I524,Multi-vehicle Collision,Total Loss,9.0,3.0,2.0
I525,Parked Car,Minor Damage,5.0,1.0,1.0
I526,Vehicle Theft,Trivial Damage,12.0,1.0,1.0
I527,Multi-vehicle Collision,Major Damage,6.0,3.0,2.0
I528,Vehicle Theft,Trivial Damage,8.0,1.0,1.0
I529,Single Vehicle Collision,Total Loss,14.0,1.0,0.0
I530,Single Vehicle Collision,Major Damage,10.0,1.0,1.0
I531,Single Vehicle Collision,Minor Damage,12.0,1.0,2.0
I532,Single Vehicle Collision,Major Damage,12.0,1.0,0.0
I533,Multi-vehicle Collision,Total Loss,12.0,3.0,1.0
I534,Vehicle Theft,Minor Damage,13.0,1.0,0.0
I535,Multi-vehicle Collision,Total Loss,17.0,3.0,1.0
I536,Single Vehicle Collision,Major Damage,14.0,1.0,1.0
I537,Multi-vehicle Collision,Major Damage,3.0,3.0,1.0
I538,Multi-vehicle Collision,Minor Damage,18.0,3.0,2.0
I539,Parked Car,Minor Damage,5.0,1.0,1.0
I540,Single Vehicle Collision,Total Loss,19.0,1.0,0.0
I541,Single Vehicle Collision,Major Damage,0.0,1.0,2.0
I542,Parked Car,Trivial Damage,22.0,1.0,0.0
I543,Multi-vehicle Collision,Major Damage,21.0,3.0,1.0
I544,Multi-vehicle Collision,Minor Damage,4.0,3.0,0.0
I545,Single Vehicle Collision,Minor Damage,10.0,1.0,0.0
I546,Single Vehicle Collision,Major Damage,5.0,1.0,1.0
I547,Single Vehicle Collision,Total Loss,13.0,1.0,0.0
I548,Multi-vehicle Collision,Major Damage,18.0,3.0,2.0
I549,Vehicle Theft,Minor Damage,6.0,1.0,1.0
I550,Multi-vehicle Collision,Minor Damage,0.0,3.0,2.0
I551,Multi-vehicle Collision,Total Loss,5.0,3.0,0.0
I552,Single Vehicle Collision,Minor Damage,8.0,1.0,0.0
I553,Vehicle Theft,Minor Damage,5.0,1.0,2.0
I554,Parked Car,Trivial Damage,9.0,1.0,2.0
I555,Multi-vehicle Collision,Minor Damage,10.0,3.0,1.0
I556,Single Vehicle Collision,Major Damage,16.0,1.0,2.0
I557,Vehicle Theft,Trivial Damage,8.0,1.0,2.0
I558,Vehicle Theft,Minor Damage,5.0,1.0,0.0
I559,Multi-vehicle Collision,Total Loss,11.0,3.0,2.0
I560,Multi-vehicle Collision,Minor Damage,15.0,3.0,1.0
I561,Multi-vehicle Collision,Total Loss,23.0,3.0,1.0
I562,Single Vehicle Collision,Minor Damage,23.0,1.0,0.0
I563,Single Vehicle Collision,Total Loss,23.0,1.0,1.0
I564,Single Vehicle Collision,Minor Damage,10.0,1.0,0.0
I565,Multi-vehicle Collision,Minor Damage,12.0,4.0,2.0
I566,Single Vehicle Collision,Minor Damage,4.0,1.0,2.0
I567,Single Vehicle Collision,Minor Damage,16.0,1.0,2.0
I568,Multi-vehicle Collision,Major Damage,18.0,3.0,1.0
I569,Multi-vehicle Collision,Total Loss,15.0,3.0,1.0
I570,Single Vehicle Collision,Total Loss,8.0,1.0,1.0
I571,Multi-vehicle Collision,Total Loss,4.0,3.0,0.0
I572,Multi-vehicle Collision,Minor Damage,20.0,3.0,0.0
I573,Multi-vehicle Collision,Major Damage,1.0,3.0,2.0
I574,Single Vehicle Collision,Major Damage,19.0,1.0,0.0
I575,Single Vehicle Collision,Total Loss,11.0,1.0,1.0
I576,Single Vehicle Collision,Total Loss,13.0,1.0,0.0
I577,Single Vehicle Collision,Minor Damage,2.0,1.0,2.0
I578,Multi-vehicle Collision,Major Damage,9.0,3.0,2.0
I579,Multi-vehicle Collision,Total Loss,15.0,2.0,1.0
I580,Single Vehicle Collision,Major Damage,23.0,1.0,2.0
I581,Single Vehicle Collision,Total Loss,16.0,1.0,2.0
I582,Multi-vehicle Collision,Major Damage,21.0,4.0,2.0
I583,Multi-vehicle Collision,Minor Damage,21.0,2.0,2.0
I584,Multi-vehicle Collision,Minor Damage,3.0,3.0,0.0
I585,Parked Car,Trivial Damage,4.0,1.0,1.0
I586,Vehicle Theft,Minor Damage,17.0,1.0,1.0
I587,Vehicle Theft,Trivial Damage,7.0,1.0,1.0
I588,Multi-vehicle Collision,Major Damage,14.0,2.0,1.0
I589,Single Vehicle Collision,Major Damage,13.0,1.0,2.0
I590,Multi-vehicle Collision,Total Loss,23.0,2.0,2.0
I591,Multi-vehicle Collision,Total Loss,23.0,3.0,2.0
I592,Single Vehicle Collision,Major Damage,16.0,1.0,2.0
I593,Single Vehicle Collision,Total Loss,17.0,1.0,2.0
I594,Single Vehicle Collision,Major Damage,9.0,1.0,1.0
I595,Multi-vehicle Collision,Major Damage,13.0,3.0,2.0
I596,Single Vehicle Collision,Major Damage,13.0,1.0,1.0
I597,Parked Car,Trivial Damage,3.0,1.0,2.0
I598,Parked Car,Trivial Damage,3.0,1.0,2.0
I599,Multi-vehicle Collision,Major Damage,16.0,3.0,1.0
I600,Multi-vehicle Collision,Major Damage,12.0,3.0,1.0
I601,Single Vehicle Collision,Minor Damage,4.0,1.0,1.0
I602,Single Vehicle Collision,Minor Damage,3.0,1.0,2.0
I603,Single Vehicle Collision,Total Loss,0.0,1.0,2.0
I604,Vehicle Theft,Trivial Damage,19.0,1.0,2.0
I605,Multi-vehicle Collision,Minor Damage,15.0,2.0,0.0
I606,Single Vehicle Collision,Minor Damage,6.0,1.0,1.0
I607,Single Vehicle Collision,Total Loss,3.0,1.0,0.0
I608,Parked Car,Minor Damage,17.0,1.0,0.0
I609,Multi-vehicle Collision,Total Loss,4.0,4.0,2.0
I610,Single Vehicle Collision,Minor Damage,14.0,1.0,2.0
I611,Multi-vehicle Collision,Minor Damage,3.0,3.0,1.0
I612,Multi-vehicle Collision,Minor Damage,4.0,3.0,2.0
I613,Single Vehicle Collision,Total Loss,13.0,1.0,1.0
I614,Multi-vehicle Collision,Minor Damage,23.0,3.0,0.0
I615,Parked Car,Minor Damage,3.0,1.0,0.0
I616,Multi-vehicle Collision,Total Loss,0.0,3.0,1.0
I617,Multi-vehicle Collision,Major Damage,14.0,2.0,2.0
I618,Multi-vehicle Collision,Minor Damage,14.0,2.0,2.0
I619,Single Vehicle Collision,Total Loss,22.0,1.0,1.0
I620,Multi-vehicle Collision,Minor Damage,17.0,3.0,0.0
I621,Single Vehicle Collision,Minor Damage,14.0,1.0,0.0
I622,Single Vehicle Collision,Minor Damage,2.0,1.0,2.0
I623,Parked Car,Trivial Damage,4.0,1.0,2.0
I624,Single Vehicle Collision,Major Damage,2.0,1.0,1.0
I625,Parked Car,Minor Damage,10.0,1.0,1.0
I626,Single Vehicle Collision,Major Damage,11.0,1.0,1.0
I627,Multi-vehicle Collision,Major Damage,1.0,4.0,1.0
I628,Parked Car,Trivial Damage,20.0,1.0,0.0
I629,Single Vehicle Collision,Major Damage,10.0,1.0,2.0
I630,Multi-vehicle Collision,Total Loss,20.0,2.0,0.0
I631,Multi-vehicle Collision,Minor Damage,10.0,3.0,2.0
I632,Multi-vehicle Collision,Total Loss,2.0,2.0,1.0
I633,Single Vehicle Collision,Minor Damage,19.0,1.0,0.0
I634,Single Vehicle Collision,Major Damage,10.0,1.0,1.0
I635,Single Vehicle Collision,Major Damage,14.0,1.0,0.0
I636,Parked Car,Trivial Damage,5.0,1.0,0.0
I637,Vehicle Theft,Minor Damage,8.0,1.0,2.0
I638,Vehicle Theft,Trivial Damage,4.0,1.0,0.0
I639,Multi-vehicle Collision,Major Damage,4.0,3.0,1.0
I640,Multi-vehicle Collision,Minor Damage,20.0,2.0,1.0
I641,Single Vehicle Collision,Total Loss,18.0,1.0,2.0
I642,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I643,Single Vehicle Collision,Major Damage,1.0,1.0,2.0
I644,Single Vehicle Collision,Major Damage,17.0,1.0,0.0
I645,Single Vehicle Collision,Minor Damage,23.0,1.0,2.0
I646,Multi-vehicle Collision,Total Loss,4.0,3.0,2.0
I647,Multi-vehicle Collision,Total Loss,0.0,3.0,2.0
I648,Single Vehicle Collision,Minor Damage,11.0,1.0,1.0
I649,Parked Car,Trivial Damage,4.0,1.0,0.0
I650,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I651,Multi-vehicle Collision,Major Damage,2.0,3.0,0.0
I652,Multi-vehicle Collision,Minor Damage,11.0,3.0,1.0
I653,Multi-vehicle Collision,Major Damage,23.0,3.0,2.0
I654,Multi-vehicle Collision,Minor Damage,17.0,3.0,1.0
I655,Single Vehicle Collision,Minor Damage,22.0,1.0,1.0
I656,Single Vehicle Collision,Major Damage,18.0,1.0,1.0
I657,Vehicle Theft,Trivial Damage,8.0,1.0,1.0
I658,Multi-vehicle Collision,Minor Damage,15.0,3.0,0.0
I659,Single Vehicle Collision,Minor Damage,20.0,1.0,2.0
I660,Single Vehicle Collision,Minor Damage,4.0,1.0,0.0
I661,Multi-vehicle Collision,Total Loss,10.0,3.0,0.0
I662,Single Vehicle Collision,Major Damage,10.0,1.0,1.0
I663,Multi-vehicle Collision,Total Loss,22.0,3.0,1.0
I664,Multi-vehicle Collision,Total Loss,15.0,3.0,0.0
I665,Single Vehicle Collision,Minor Damage,13.0,1.0,0.0
I666,Single Vehicle Collision,Total Loss,23.0,1.0,2.0
I667,Multi-vehicle Collision,Major Damage,18.0,3.0,2.0
I668,Single Vehicle Collision,Total Loss,7.0,1.0,1.0
I669,Single Vehicle Collision,Major Damage,21.0,1.0,2.0
I670,Multi-vehicle Collision,Major Damage,15.0,3.0,1.0
I671,Multi-vehicle Collision,Total Loss,17.0,3.0,1.0
I672,Single Vehicle Collision,Minor Damage,2.0,1.0,0.0
I673,Multi-vehicle Collision,Minor Damage,1.0,3.0,1.0
I674,Single Vehicle Collision,Major Damage,3.0,1.0,0.0
I675,Vehicle Theft,Trivial Damage,0.0,1.0,1.0
I676,Vehicle Theft,Trivial Damage,4.0,1.0,0.0
I677,Multi-vehicle Collision,Minor Damage,11.0,3.0,2.0
I678,Parked Car,Trivial Damage,4.0,1.0,1.0
I679,Multi-vehicle Collision,Minor Damage,11.0,3.0,0.0
I680,Multi-vehicle Collision,Minor Damage,4.0,3.0,2.0
I681,Single Vehicle Collision,Total Loss,20.0,1.0,2.0
I682,Parked Car,Trivial Damage,22.0,1.0,0.0
I683,Parked Car,Trivial Damage,4.0,1.0,0.0
I684,Multi-vehicle Collision,Total Loss,21.0,4.0,0.0
I685,Single Vehicle Collision,Major Damage,20.0,1.0,1.0
I686,Single Vehicle Collision,Major Damage,7.0,1.0,2.0
I687,Parked Car,Trivial Damage,4.0,1.0,0.0
I688,Multi-vehicle Collision,Minor Damage,17.0,3.0,0.0
I689,Multi-vehicle Collision,Minor Damage,20.0,3.0,1.0
I690,Single Vehicle Collision,Major Damage,10.0,1.0,2.0
I691,Single Vehicle Collision,Minor Damage,8.0,1.0,2.0
I692,Single Vehicle Collision,Major Damage,6.0,1.0,0.0
I693,Parked Car,Minor Damage,4.0,1.0,1.0
I694,Multi-vehicle Collision,Minor Damage,17.0,3.0,2.0
I695,Multi-vehicle Collision,Total Loss,15.0,3.0,0.0
I696,Vehicle Theft,Trivial Damage,9.0,1.0,2.0
I697,Single Vehicle Collision,Total Loss,17.0,1.0,2.0
I698,Single Vehicle Collision,Major Damage,13.0,1.0,2.0
I699,Vehicle Theft,Trivial Damage,5.0,1.0,1.0
I700,Multi-vehicle Collision,Total Loss,23.0,3.0,2.0
I701,Multi-vehicle Collision,Major Damage,1.0,2.0,2.0
I702,Multi-vehicle Collision,Major Damage,17.0,4.0,2.0
I703,Parked Car,Minor Damage,3.0,1.0,1.0
I704,Multi-vehicle Collision,Total Loss,17.0,3.0,1.0
I705,Multi-vehicle Collision,Major Damage,23.0,3.0,1.0
I706,Single Vehicle Collision,Minor Damage,13.0,1.0,0.0
I707,Single Vehicle Collision,Minor Damage,17.0,1.0,2.0
I708,Single Vehicle Collision,Minor Damage,2.0,1.0,0.0
I709,Multi-vehicle Collision,Total Loss,23.0,3.0,1.0
I710,Single Vehicle Collision,Minor Damage,17.0,1.0,1.0
I711,Single Vehicle Collision,Major Damage,3.0,1.0,1.0
I712,Parked Car,Minor Damage,16.0,1.0,2.0
I713,Multi-vehicle Collision,Major Damage,13.0,3.0,1.0
I714,Single Vehicle Collision,Major Damage,8.0,1.0,2.0
I715,Single Vehicle Collision,Major Damage,23.0,1.0,0.0
I716,Multi-vehicle Collision,Major Damage,15.0,3.0,2.0
I717,Single Vehicle Collision,Total Loss,3.0,1.0,2.0
I718,Multi-vehicle Collision,Minor Damage,4.0,3.0,0.0
I719,Single Vehicle Collision,Minor Damage,8.0,1.0,0.0
I720,Vehicle Theft,Trivial Damage,21.0,1.0,1.0
I721,Single Vehicle Collision,Total Loss,23.0,1.0,0.0
I722,Parked Car,Trivial Damage,8.0,1.0,1.0
I723,Single Vehicle Collision,Major Damage,21.0,1.0,2.0
I724,Parked Car,Minor Damage,5.0,1.0,2.0
I725,Multi-vehicle Collision,Total Loss,12.0,3.0,0.0
I726,Multi-vehicle Collision,Minor Damage,7.0,3.0,2.0
I727,Parked Car,Minor Damage,0.0,1.0,1.0
I728,Single Vehicle Collision,Major Damage,14.0,1.0,0.0
I729,Single Vehicle Collision,Major Damage,13.0,1.0,2.0
I730,Single Vehicle Collision,Major Damage,1.0,1.0,1.0
I731,Single Vehicle Collision,Major Damage,23.0,1.0,0.0
I732,Single Vehicle Collision,Major Damage,1.0,1.0,2.0
I733,Single Vehicle Collision,Total Loss,9.0,1.0,2.0
I734,Single Vehicle Collision,Total Loss,3.0,1.0,0.0
I735,Single Vehicle Collision,Minor Damage,0.0,1.0,2.0
I736,Multi-vehicle Collision,Total Loss,13.0,3.0,1.0
I737,Multi-vehicle Collision,Total Loss,18.0,3.0,2.0
I738,Multi-vehicle Collision,Total Loss,17.0,3.0,2.0
I739,Single Vehicle Collision,Minor Damage,11.0,1.0,0.0
I740,Vehicle Theft,Minor Damage,0.0,1.0,0.0
I741,Multi-vehicle Collision,Minor Damage,14.0,3.0,1.0
I742,Single Vehicle Collision,Minor Damage,4.0,1.0,1.0
I743,Multi-vehicle Collision,Major Damage,2.0,3.0,2.0
I744,Multi-vehicle Collision,Major Damage,9.0,3.0,2.0
I745,Multi-vehicle Collision,Major Damage,21.0,4.0,0.0
I746,Multi-vehicle Collision,Major Damage,0.0,3.0,2.0
I747,Multi-vehicle Collision,Total Loss,17.0,3.0,0.0
I748,Multi-vehicle Collision,Total Loss,21.0,3.0,1.0
I749,Multi-vehicle Collision,Major Damage,20.0,3.0,0.0
I750,Single Vehicle Collision,Total Loss,5.0,1.0,0.0
I751,Vehicle Theft,Minor Damage,7.0,1.0,2.0
I752,Single Vehicle Collision,Minor Damage,6.0,1.0,0.0
I753,Multi-vehicle Collision,Minor Damage,2.0,4.0,0.0
I754,Multi-vehicle Collision,Total Loss,19.0,3.0,1.0
I755,Multi-vehicle Collision,Minor Damage,21.0,3.0,2.0
I756,Multi-vehicle Collision,Major Damage,3.0,3.0,0.0
I757,Single Vehicle Collision,Total Loss,22.0,1.0,2.0
I758,Single Vehicle Collision,Total Loss,22.0,1.0,2.0
I759,Single Vehicle Collision,Minor Damage,16.0,1.0,0.0
I760,Single Vehicle Collision,Minor Damage,0.0,1.0,0.0
I761,Multi-vehicle Collision,Minor Damage,1.0,3.0,2.0
I762,Multi-vehicle Collision,Major Damage,19.0,3.0,0.0
I763,Multi-vehicle Collision,Major Damage,0.0,3.0,2.0
I764,Multi-vehicle Collision,Major Damage,2.0,3.0,0.0
I765,Multi-vehicle Collision,Minor Damage,5.0,3.0,1.0
I766,Single Vehicle Collision,Total Loss,6.0,1.0,2.0
I767,Multi-vehicle Collision,Total Loss,21.0,3.0,2.0
I768,Multi-vehicle Collision,Major Damage,11.0,3.0,0.0
I769,Single Vehicle Collision,Minor Damage,3.0,1.0,2.0
I770,Multi-vehicle Collision,Total Loss,4.0,3.0,2.0
I771,Multi-vehicle Collision,Minor Damage,2.0,3.0,1.0
I772,Single Vehicle Collision,Minor Damage,22.0,1.0,1.0
I773,Single Vehicle Collision,Total Loss,8.0,1.0,1.0
I774,Multi-vehicle Collision,Total Loss,14.0,3.0,0.0
I775,Multi-vehicle Collision,Minor Damage,14.0,4.0,1.0
I776,Parked Car,Trivial Damage,5.0,1.0,1.0
I777,Single Vehicle Collision,Minor Damage,18.0,1.0,2.0
I778,Multi-vehicle Collision,Total Loss,20.0,3.0,0.0
I779,Multi-vehicle Collision,Total Loss,0.0,3.0,2.0
I780,Multi-vehicle Collision,Minor Damage,1.0,3.0,2.0
I781,Single Vehicle Collision,Total Loss,10.0,1.0,1.0
I782,Single Vehicle Collision,Minor Damage,12.0,1.0,0.0
I783,Vehicle Theft,Minor Damage,6.0,1.0,0.0
I784,Parked Car,Trivial Damage,1.0,1.0,0.0
I785,Multi-vehicle Collision,Total Loss,21.0,3.0,0.0
I786,Multi-vehicle Collision,Major Damage,3.0,3.0,2.0
I787,Multi-vehicle Collision,Minor Damage,14.0,4.0,0.0
I788,Multi-vehicle Collision,Minor Damage,19.0,3.0,1.0
I789,Single Vehicle Collision,Major Damage,7.0,1.0,2.0
I790,Single Vehicle Collision,Minor Damage,0.0,1.0,0.0
I791,Parked Car,Trivial Damage,6.0,1.0,2.0
I792,Single Vehicle Collision,Total Loss,0.0,1.0,0.0
I793,Multi-vehicle Collision,Total Loss,9.0,3.0,0.0
I794,Single Vehicle Collision,Total Loss,23.0,1.0,0.0
I795,Multi-vehicle Collision,Minor Damage,13.0,3.0,2.0
I796,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I797,Single Vehicle Collision,Major Damage,7.0,1.0,2.0
I798,Single Vehicle Collision,Minor Damage,23.0,1.0,0.0
I799,Single Vehicle Collision,Major Damage,7.0,1.0,2.0
I800,Parked Car,Trivial Damage,20.0,1.0,0.0
I801,Single Vehicle Collision,Minor Damage,22.0,1.0,0.0
I802,Multi-vehicle Collision,Minor Damage,10.0,3.0,2.0
I803,Single Vehicle Collision,Total Loss,10.0,1.0,2.0
I804,Single Vehicle Collision,Minor Damage,17.0,1.0,1.0
I805,Parked Car,Trivial Damage,3.0,1.0,2.0
I806,Single Vehicle Collision,Minor Damage,10.0,1.0,0.0
I807,Single Vehicle Collision,Major Damage,1.0,1.0,0.0
I808,Multi-vehicle Collision,Minor Damage,1.0,3.0,2.0
I809,Single Vehicle Collision,Total Loss,7.0,1.0,1.0
I810,Single Vehicle Collision,Major Damage,19.0,1.0,2.0
I811,Multi-vehicle Collision,Total Loss,3.0,3.0,0.0
I812,Vehicle Theft,Minor Damage,3.0,1.0,0.0
I813,Single Vehicle Collision,Minor Damage,23.0,1.0,2.0
I814,Vehicle Theft,Minor Damage,7.0,1.0,1.0
I815,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I816,Single Vehicle Collision,Total Loss,10.0,1.0,0.0
I817,Multi-vehicle Collision,Minor Damage,4.0,4.0,0.0
I818,Single Vehicle Collision,Major Damage,16.0,1.0,1.0
I819,Vehicle Theft,Trivial Damage,3.0,1.0,2.0
I820,Single Vehicle Collision,Minor Damage,5.0,1.0,0.0
I821,Vehicle Theft,Trivial Damage,14.0,1.0,0.0
I822,Multi-vehicle Collision,Minor Damage,7.0,3.0,0.0
I823,Single Vehicle Collision,Minor Damage,16.0,1.0,2.0
I824,Single Vehicle Collision,Major Damage,6.0,1.0,2.0
I825,Single Vehicle Collision,Total Loss,10.0,1.0,1.0
I826,Single Vehicle Collision,Total Loss,19.0,1.0,1.0
I827,Single Vehicle Collision,Minor Damage,10.0,1.0,0.0
I828,Multi-vehicle Collision,Total Loss,6.0,3.0,1.0
I829,Multi-vehicle Collision,Major Damage,12.0,3.0,2.0
I830,Multi-vehicle Collision,Total Loss,10.0,3.0,2.0
I831,Single Vehicle Collision,Total Loss,0.0,1.0,2.0
I832,Multi-vehicle Collision,Major Damage,12.0,3.0,2.0
I833,Vehicle Theft,Minor Damage,10.0,1.0,1.0
I834,Multi-vehicle Collision,Total Loss,3.0,4.0,0.0
I835,Vehicle Theft,Minor Damage,21.0,1.0,1.0
I836,Vehicle Theft,Minor Damage,6.0,1.0,0.0
I837,Single Vehicle Collision,Total Loss,0.0,1.0,0.0
I838,Vehicle Theft,Trivial Damage,6.0,1.0,0.0
I839,Multi-vehicle Collision,Major Damage,20.0,3.0,1.0
I840,Single Vehicle Collision,Major Damage,4.0,1.0,2.0
I841,Parked Car,Trivial Damage,9.0,1.0,0.0
I842,Multi-vehicle Collision,Minor Damage,20.0,3.0,1.0
I843,Vehicle Theft,Minor Damage,7.0,1.0,2.0
I844,Multi-vehicle Collision,Major Damage,18.0,3.0,0.0
I845,Multi-vehicle Collision,Minor Damage,0.0,3.0,1.0
I846,Multi-vehicle Collision,Major Damage,11.0,3.0,0.0
I847,Single Vehicle Collision,Total Loss,13.0,1.0,0.0
I848,Multi-vehicle Collision,Minor Damage,19.0,3.0,1.0
I849,Single Vehicle Collision,Major Damage,23.0,1.0,1.0
I850,Parked Car,Trivial Damage,23.0,1.0,0.0
I851,Multi-vehicle Collision,Total Loss,19.0,3.0,2.0
I852,Single Vehicle Collision,Major Damage,19.0,1.0,1.0
I853,Multi-vehicle Collision,Total Loss,17.0,3.0,2.0
I854,Single Vehicle Collision,Minor Damage,18.0,1.0,1.0
I855,Multi-vehicle Collision,Total Loss,17.0,3.0,2.0
I856,Multi-vehicle Collision,Total Loss,11.0,3.0,1.0
I857,Multi-vehicle Collision,Minor Damage,22.0,3.0,0.0
I858,Single Vehicle Collision,Minor Damage,7.0,1.0,0.0
I859,Multi-vehicle Collision,Minor Damage,17.0,3.0,2.0
I860,Multi-vehicle Collision,Total Loss,16.0,3.0,2.0
I861,Multi-vehicle Collision,Minor Damage,13.0,3.0,1.0
