accidentType,authoritiesInvolved,driverAge,driverExperience,driverGender,educationLevel,incidentSeverity,incidentTime,index,insuranceAccess,insurancePremium,licenceType,numBodilyInjuries,numVehiclesInvolved,policeReportBool,timeAsCustomer,totalClaimAmount,vehicleAge,fraud
Multi-vehicle Collision,Other,40.0,21.0,,Bachelor,Total Loss,9.0,1225.0,2000.0,1263.0,Full,1.0,3.0,0.0,29.0,2000.0,13.0,0
Multi-vehicle Collision,Other,32.0,15.0,0.0,MD,Major Damage,13.0,114.0,1000.0,1060.0,Full,1.0,2.0,-0.0,168.0,57720.0,8.0,0
Multi-vehicle Collision,Fire,48.0,31.0,-0.0,JD,Total Loss,18.0,737.0,500.0,1699.0,Full,2.0,3.0,-0.0,339.0,51840.0,14.0,1
Parked Car,Ambulance,54.0,35.0,,Bachelor,Minor Loss,9.0,1443.0,2000.0,1033.0,Full,1.0,1.0,-0.0,82.0,4000.0,1.0,0
Multi-vehicle Collision,,32.0,16.0,,Bachelor,Major Loss,6.0,2329.0,1000.0,946.0,Full,1.0,3.0,1.0,81.0,5000.0,13.0,0
Multi-vehicle Collision,Fire,37.0,16.0,1.0,High School,Minor Damage,19.0,469.0,1000.0,1218.0,Full,2.0,3.0,-0.0,225.0,57600.0,0.0,0
Vehicle Theft,,55.0,35.0,-0.0,JD,Minor Damage,6.0,836.0,2000.0,1389.0,Full,0.0,1.0,0.0,370.0,9000.0,-0.0,0
Parked Car,Ambulance,34.0,12.0,,High School,Major Loss,6.0,2223.0,2000.0,1122.0,Full,1.0,1.0,1.0,7.0,4000.0,12.0,0
Vehicle Theft,,35.0,15.0,0.0,High School,Trivial Damage,13.0,84.0,2000.0,1318.0,Full,-0.0,1.0,1.0,200.0,6490.0,13.0,0
Single Vehicle Collision,Ambulance,25.0,5.0,,Bachelor,Minor Loss,1.0,1622.0,2000.0,1368.0,Full,1.0,1.0,1.0,47.0,6000.0,6.0,0
Multi-vehicle Collision,Ambulance,32.0,11.0,,High School,Total Loss,21.0,1903.0,500.0,941.0,Full,1.0,2.0,1.0,113.0,1000.0,10.0,0
Parked Car,Police,30.0,14.0,,High School,Total Loss,15.0,1975.0,500.0,1640.0,Full,0.0,1.0,1.0,63.0,4000.0,9.0,0
Single Vehicle Collision,Police,51.0,34.0,,MD,Major Loss,20.0,1290.0,1000.0,1336.0,Full,1.0,1.0,0.0,15.0,7000.0,3.0,0
Single Vehicle Collision,,32.0,11.0,,Bachelor,Total Loss,13.0,2246.0,2000.0,1396.0,Full,1.0,1.0,0.0,61.0,5000.0,12.0,0
Multi-vehicle Collision,Ambulance,44.0,27.0,,PhD,Minor Loss,8.0,2496.0,1000.0,1469.0,Full,1.0,3.0,1.0,105.0,2000.0,8.0,0
Single Vehicle Collision,Other,26.0,5.0,-0.0,Masters,Minor Damage,12.0,966.0,1000.0,1343.0,Full,-0.0,1.0,0.0,80.0,90400.0,20.0,0
Single Vehicle Collision,Police,62.0,43.0,,Masters,Minor Loss,14.0,1006.0,2000.0,1069.0,Full,-0.0,1.0,1.0,66.0,2000.0,11.0,0
Multi-vehicle Collision,Ambulance,35.0,13.0,,Bachelor,Total Loss,11.0,2131.0,500.0,890.0,Full,1.0,3.0,1.0,32.0,9000.0,12.0,1
Single Vehicle Collision,Ambulance,46.0,25.0,,High School,Major Loss,0.0,1980.0,500.0,1032.0,Full,1.0,1.0,1.0,77.0,9000.0,19.0,0
Single Vehicle Collision,Police,33.0,16.0,1.0,High School,Total Loss,-0.0,134.0,1000.0,1923.0,Full,2.0,1.0,-0.0,24.0,46800.0,13.0,0
Single Vehicle Collision,Ambulance,44.0,28.0,,High School,Major Loss,21.0,1712.0,1000.0,933.0,Full,0.0,1.0,1.0,92.0,9000.0,12.0,1
Single Vehicle Collision,Police,58.0,42.0,,Bachelor,Major Loss,23.0,1377.0,1000.0,1444.0,Full,1.0,1.0,1.0,8.0,6000.0,11.0,0
Single Vehicle Collision,Fire,32.0,14.0,1.0,College,Major Damage,13.0,729.0,1000.0,986.0,Full,2.0,1.0,-0.0,140.0,82170.0,20.0,0
Multi-vehicle Collision,Police,26.0,9.0,,Masters,Major Loss,5.0,1680.0,1000.0,1381.0,Full,1.0,3.0,1.0,15.0,4000.0,15.0,0
Single Vehicle Collision,Other,30.0,11.0,1.0,PhD,Major Damage,-0.0,541.0,500.0,1093.0,Full,2.0,1.0,0.0,138.0,83160.0,4.0,0
Multi-vehicle Collision,Ambulance,28.0,6.0,,College,Major Loss,3.0,2312.0,2000.0,1336.0,Full,1.0,3.0,1.0,28.0,7000.0,19.0,0
Multi-vehicle Collision,Fire,39.0,22.0,-0.0,JD,Minor Damage,20.0,842.0,2000.0,1524.0,Full,1.0,3.0,1.0,233.0,48870.0,16.0,0
Parked Car,Police,42.0,23.0,,Bachelor,Total Loss,7.0,2102.0,500.0,1150.0,Full,1.0,1.0,1.0,22.0,7000.0,16.0,0
Single Vehicle Collision,Ambulance,33.0,15.0,,College,Major Loss,12.0,1355.0,1000.0,1189.0,Full,-0.0,1.0,1.0,73.0,8000.0,-0.0,1
Multi-vehicle Collision,Ambulance,60.0,40.0,,Bachelor,Minor Loss,5.0,1190.0,2000.0,1440.0,Full,1.0,2.0,1.0,74.0,3000.0,1.0,1
Single Vehicle Collision,Police,29.0,12.0,,MD,Minor Loss,-0.0,1537.0,500.0,1414.0,Full,1.0,1.0,1.0,33.0,1000.0,9.0,0
Single Vehicle Collision,,55.0,33.0,,High School,Total Loss,6.0,1789.0,2000.0,1010.0,Full,1.0,1.0,1.0,72.0,9000.0,4.0,0
Single Vehicle Collision,,54.0,32.0,,High School,Minor Loss,4.0,2107.0,500.0,1105.0,Full,0.0,1.0,0.0,79.0,7000.0,6.0,0
Vehicle Theft,Police,30.0,8.0,,PhD,Total Loss,21.0,2296.0,500.0,1191.0,Full,1.0,1.0,1.0,12.0,2000.0,16.0,0
Multi-vehicle Collision,Ambulance,47.0,31.0,,Bachelor,Minor Loss,1.0,1062.0,500.0,1671.0,Full,1.0,3.0,1.0,39.0,4000.0,13.0,0
Single Vehicle Collision,Ambulance,40.0,20.0,,MD,Total Loss,16.0,1328.0,2000.0,1212.0,Full,1.0,1.0,1.0,12.0,7000.0,4.0,0
Multi-vehicle Collision,Ambulance,41.0,21.0,-0.0,JD,Minor Damage,19.0,379.0,1000.0,1464.0,Full,2.0,3.0,0.0,230.0,53040.0,9.0,0
Single Vehicle Collision,Other,36.0,17.0,,High School,Major Loss,11.0,1327.0,1000.0,1400.0,Full,-0.0,1.0,1.0,8.0,7000.0,6.0,1
Multi-vehicle Collision,Fire,28.0,11.0,1.0,Associate,Major Damage,12.0,829.0,500.0,1082.0,Full,2.0,3.0,-0.0,105.0,60500.0,20.0,0
Multi-vehicle Collision,Ambulance,57.0,39.0,,High School,Minor Loss,5.0,1882.0,1000.0,1383.0,Full,-0.0,3.0,1.0,109.0,8000.0,13.0,0
Single Vehicle Collision,Other,50.0,30.0,1.0,PhD,Minor Damage,4.0,566.0,2000.0,1109.0,Full,2.0,1.0,1.0,392.0,108030.0,13.0,1
Multi-vehicle Collision,Ambulance,47.0,30.0,,MD,Total Loss,-0.0,1824.0,500.0,1283.0,Full,1.0,3.0,1.0,13.0,9000.0,20.0,0
Multi-vehicle Collision,Police,21.0,0.0,1.0,High School,Total Loss,3.0,990.0,1000.0,1248.0,Ls,1.0,3.0,-0.0,22.0,53280.0,-0.0,0
Single Vehicle Collision,,49.0,28.0,,High School,Major Loss,15.0,2000.0,1000.0,1287.0,Full,1.0,1.0,1.0,72.0,2000.0,13.0,0
Single Vehicle Collision,Ambulance,27.0,8.0,,High School,Total Loss,3.0,1387.0,1000.0,1548.0,Full,-0.0,1.0,1.0,50.0,10000.0,20.0,0
Multi-vehicle Collision,Ambulance,38.0,18.0,,Masters,Total Loss,6.0,2566.0,2000.0,1353.0,Full,1.0,3.0,1.0,28.0,4000.0,11.0,0
Vehicle Theft,Police,44.0,26.0,1.0,JD,Minor Damage,7.0,843.0,500.0,1396.0,Full,2.0,1.0,0.0,274.0,5590.0,15.0,0
Multi-vehicle Collision,Police,61.0,39.0,,Bachelor,Minor Loss,22.0,2445.0,1000.0,1327.0,Full,1.0,3.0,-0.0,93.0,2000.0,12.0,0
Multi-vehicle Collision,Other,30.0,12.0,-0.0,MD,Minor Damage,4.0,612.0,500.0,1040.0,Full,2.0,3.0,-0.0,137.0,74030.0,10.0,0
Single Vehicle Collision,Fire,34.0,18.0,1.0,JD,Minor Damage,0.0,790.0,500.0,1470.0,Full,0.0,1.0,1.0,169.0,38700.0,3.0,1
Single Vehicle Collision,Ambulance,37.0,21.0,1.0,Masters,Total Loss,21.0,952.0,1000.0,1412.0,Full,-0.0,1.0,0.0,187.0,57700.0,15.0,0
Parked Car,,39.0,20.0,0.0,Masters,Trivial Damage,6.0,791.0,500.0,1391.0,Full,2.0,1.0,1.0,225.0,5830.0,4.0,1
Single Vehicle Collision,Ambulance,33.0,16.0,,College,Minor Loss,5.0,1326.0,2000.0,1320.0,Full,0.0,1.0,1.0,116.0,6000.0,10.0,1
Single Vehicle Collision,Fire,35.0,19.0,-0.0,JD,Total Loss,17.0,186.0,500.0,1055.0,Full,2.0,1.0,-0.0,125.0,88660.0,8.0,0
Single Vehicle Collision,Ambulance,32.0,10.0,0.0,Masters,Total Loss,22.0,757.0,500.0,1592.0,Full,2.0,1.0,1.0,92.0,53400.0,19.0,0
Multi-vehicle Collision,Other,59.0,42.0,,High School,Major Loss,23.0,2500.0,500.0,923.0,Full,-0.0,3.0,1.0,74.0,1000.0,17.0,0
Multi-vehicle Collision,Ambulance,53.0,33.0,,Bachelor,Minor Loss,5.0,1989.0,500.0,1481.0,Full,1.0,3.0,1.0,77.0,5000.0,7.0,1
Parked Car,,49.0,32.0,0.0,MD,Minor Damage,13.0,70.0,1000.0,1279.0,Full,0.0,1.0,-0.0,338.0,4300.0,11.0,0
Multi-vehicle Collision,Ambulance,29.0,8.0,,PhD,Minor Loss,18.0,1979.0,1000.0,1315.0,Full,1.0,3.0,1.0,16.0,3000.0,11.0,0
Multi-vehicle Collision,Fire,50.0,31.0,-0.0,Associate,Total Loss,17.0,224.0,500.0,1198.0,Full,1.0,3.0,0.0,362.0,57060.0,20.0,0
Single Vehicle Collision,Other,37.0,15.0,,Bachelor,Total Loss,18.0,2161.0,1000.0,980.0,Full,1.0,1.0,1.0,16.0,7000.0,16.0,0
Multi-vehicle Collision,Ambulance,42.0,21.0,0.0,Associate,Major Damage,18.0,978.0,500.0,1094.0,Full,1.0,3.0,0.0,266.0,53280.0,0.0,0
Single Vehicle Collision,Other,35.0,17.0,0.0,College,Total Loss,8.0,570.0,500.0,900.0,Full,1.0,1.0,1.0,165.0,69700.0,7.0,0
Single Vehicle Collision,Police,26.0,6.0,,Masters,Major Loss,11.0,2508.0,2000.0,1127.0,Full,1.0,1.0,1.0,10.0,10000.0,12.0,0
Multi-vehicle Collision,,35.0,17.0,,Masters,Minor Loss,13.0,1446.0,500.0,1615.0,Full,1.0,2.0,-0.0,23.0,5000.0,19.0,0
Multi-vehicle Collision,Police,49.0,31.0,,Bachelor,Minor Loss,13.0,1857.0,1000.0,1479.0,Full,1.0,3.0,-0.0,99.0,9000.0,7.0,0
Multi-vehicle Collision,Ambulance,29.0,8.0,,Bachelor,Major Loss,15.0,2402.0,500.0,843.0,Full,1.0,3.0,-0.0,45.0,5000.0,17.0,1
Multi-vehicle Collision,Ambulance,46.0,30.0,,High School,Total Loss,11.0,2149.0,1000.0,1632.0,Full,1.0,3.0,1.0,80.0,7000.0,13.0,1
Multi-vehicle Collision,Police,39.0,23.0,1.0,JD,Minor Damage,20.0,572.0,1000.0,1261.0,Full,0.0,3.0,1.0,241.0,37520.0,5.0,0
Single Vehicle Collision,Ambulance,46.0,30.0,,Bachelor,Major Loss,14.0,2163.0,1000.0,1517.0,Full,0.0,1.0,1.0,46.0,9000.0,9.0,0
Single Vehicle Collision,Police,34.0,14.0,1.0,PhD,Minor Damage,23.0,382.0,500.0,1161.0,Full,1.0,1.0,-0.0,47.0,62920.0,3.0,0
Parked Car,,61.0,45.0,,College,Minor Loss,4.0,1014.0,2000.0,984.0,Full,-0.0,1.0,1.0,21.0,10000.0,8.0,0
Single Vehicle Collision,Police,50.0,31.0,,Bachelor,Major Loss,10.0,2227.0,1000.0,922.0,Full,1.0,1.0,1.0,14.0,10000.0,10.0,0
Vehicle Theft,Police,64.0,44.0,,High School,Total Loss,7.0,1641.0,500.0,1549.0,Full,0.0,1.0,1.0,81.0,9000.0,17.0,0
Multi-vehicle Collision,Police,26.0,7.0,,Bachelor,Total Loss,4.0,1088.0,500.0,1573.0,Full,1.0,3.0,1.0,47.0,5000.0,1.0,0
Multi-vehicle Collision,Police,55.0,36.0,0.0,College,Minor Damage,6.0,271.0,2000.0,1590.0,Full,2.0,3.0,1.0,369.0,85300.0,12.0,0
Vehicle Theft,Ambulance,62.0,45.0,,Bachelor,Major Loss,6.0,1460.0,2000.0,1468.0,Full,1.0,1.0,1.0,110.0,4000.0,8.0,0
Multi-vehicle Collision,Police,49.0,31.0,,College,Minor Loss,7.0,1086.0,1000.0,880.0,Full,1.0,3.0,-0.0,83.0,1000.0,4.0,1
Vehicle Theft,Police,51.0,29.0,,Masters,Major Loss,3.0,1987.0,500.0,1270.0,Full,1.0,1.0,1.0,90.0,8000.0,20.0,0
Multi-vehicle Collision,Other,42.0,25.0,1.0,Associate,Major Damage,12.0,71.0,500.0,1105.0,Full,2.0,2.0,0.0,271.0,68310.0,12.0,0
Multi-vehicle Collision,Police,32.0,15.0,-0.0,Masters,Total Loss,21.0,957.0,2000.0,1357.0,Full,-0.0,3.0,1.0,95.0,83160.0,12.0,0
Vehicle Theft,,46.0,30.0,1.0,JD,Minor Damage,10.0,833.0,500.0,1266.0,Full,1.0,1.0,1.0,295.0,4560.0,8.0,0
Single Vehicle Collision,Ambulance,31.0,15.0,,Bachelor,Minor Loss,19.0,1714.0,500.0,1640.0,Full,1.0,1.0,1.0,41.0,7000.0,3.0,0
Multi-vehicle Collision,Police,33.0,13.0,,High School,Minor Loss,18.0,2339.0,1000.0,974.0,Full,1.0,3.0,1.0,107.0,9000.0,18.0,0
Multi-vehicle Collision,,53.0,34.0,,Masters,Major Loss,13.0,1631.0,500.0,1508.0,Full,0.0,3.0,1.0,85.0,8000.0,9.0,0
Multi-vehicle Collision,Ambulance,58.0,36.0,,Bachelor,Major Loss,19.0,1142.0,500.0,1143.0,Full,0.0,3.0,-0.0,9.0,9000.0,19.0,0
Single Vehicle Collision,Police,48.0,29.0,1.0,Masters,Major Damage,21.0,433.0,1000.0,845.0,Full,1.0,1.0,-0.0,310.0,55170.0,10.0,0
Single Vehicle Collision,Police,58.0,42.0,,Bachelor,Major Loss,23.0,1377.0,1000.0,1444.0,Full,1.0,1.0,1.0,8.0,6000.0,11.0,0
Multi-vehicle Collision,Ambulance,30.0,14.0,,High School,Minor Loss,5.0,1303.0,500.0,1648.0,Full,0.0,3.0,1.0,64.0,4000.0,4.0,0
Single Vehicle Collision,Ambulance,62.0,44.0,,High School,Minor Loss,11.0,1347.0,1000.0,1151.0,Full,0.0,1.0,1.0,26.0,5000.0,17.0,0
Parked Car,Police,46.0,27.0,,Bachelor,Minor Loss,22.0,2243.0,2000.0,1644.0,Full,1.0,1.0,1.0,19.0,1000.0,1.0,0
Multi-vehicle Collision,Police,57.0,40.0,,Masters,Total Loss,3.0,1333.0,1000.0,1410.0,Full,-0.0,3.0,1.0,73.0,10000.0,5.0,0
Single Vehicle Collision,Police,41.0,25.0,1.0,Masters,Minor Damage,16.0,385.0,2000.0,1241.0,Full,2.0,1.0,1.0,254.0,100210.0,1.0,0
Multi-vehicle Collision,Fire,36.0,15.0,-0.0,Associate,Major Damage,17.0,181.0,2000.0,1713.0,Full,2.0,3.0,1.0,53.0,51100.0,9.0,1
Multi-vehicle Collision,Police,47.0,26.0,0.0,MD,Major Damage,22.0,273.0,2000.0,1083.0,Full,2.0,4.0,-0.0,332.0,71760.0,5.0,0
Vehicle Theft,Other,31.0,13.0,,High School,Minor Loss,23.0,1141.0,1000.0,1039.0,Full,1.0,1.0,0.0,73.0,8000.0,14.0,0
Parked Car,Other,38.0,21.0,,High School,Minor Loss,3.0,1448.0,500.0,1376.0,Full,1.0,1.0,-0.0,25.0,2000.0,2.0,0
Single Vehicle Collision,Fire,43.0,22.0,0.0,JD,Minor Damage,-0.0,735.0,1000.0,1267.0,Full,2.0,1.0,-0.0,246.0,50700.0,9.0,0
Single Vehicle Collision,Other,42.0,21.0,1.0,Associate,Minor Damage,13.0,342.0,2000.0,1437.0,Full,1.0,1.0,0.0,299.0,70400.0,15.0,0
Multi-vehicle Collision,Other,46.0,29.0,-0.0,High School,Total Loss,22.0,317.0,1000.0,1372.0,Full,1.0,3.0,-0.0,274.0,90600.0,6.0,0
Single Vehicle Collision,Other,57.0,41.0,0.0,High School,Major Damage,19.0,397.0,1000.0,1192.0,Full,1.0,1.0,0.0,409.0,73320.0,3.0,0
Multi-vehicle Collision,,32.0,12.0,,College,Total Loss,7.0,2375.0,2000.0,1664.0,Full,0.0,3.0,1.0,26.0,2000.0,18.0,0
Multi-vehicle Collision,Police,28.0,10.0,,Masters,Minor Loss,5.0,2214.0,2000.0,1173.0,Full,0.0,4.0,1.0,28.0,3000.0,20.0,1
Parked Car,Ambulance,28.0,12.0,,College,Minor Loss,11.0,1769.0,500.0,1583.0,Full,1.0,1.0,1.0,95.0,3000.0,8.0,0
Single Vehicle Collision,Police,36.0,17.0,,Bachelor,Major Loss,-0.0,2316.0,1000.0,1429.0,Full,1.0,1.0,1.0,119.0,6000.0,6.0,0
Parked Car,Police,42.0,24.0,,Bachelor,Minor Loss,12.0,1563.0,2000.0,1050.0,Full,-0.0,1.0,1.0,84.0,5000.0,16.0,0
Parked Car,,42.0,23.0,-0.0,PhD,Trivial Damage,9.0,93.0,2000.0,1323.0,Full,0.0,1.0,-0.0,207.0,5900.0,8.0,1
Single Vehicle Collision,,61.0,44.0,,Bachelor,Total Loss,6.0,1373.0,1000.0,910.0,Full,1.0,1.0,1.0,50.0,4000.0,14.0,1
Single Vehicle Collision,Ambulance,37.0,21.0,,Bachelor,Major Loss,4.0,2458.0,2000.0,1231.0,Full,1.0,1.0,1.0,114.0,4000.0,5.0,0
Multi-vehicle Collision,Fire,28.0,6.0,1.0,PhD,Minor Damage,9.0,138.0,1000.0,1281.0,Full,-0.0,3.0,-0.0,120.0,65500.0,5.0,0
Vehicle Theft,Ambulance,57.0,35.0,,High School,Major Loss,0.0,1018.0,500.0,1615.0,Full,1.0,1.0,1.0,51.0,6000.0,15.0,0
Single Vehicle Collision,Ambulance,44.0,23.0,,Bachelor,Minor Loss,11.0,1676.0,500.0,1602.0,Full,1.0,1.0,-0.0,43.0,9000.0,12.0,0
Single Vehicle Collision,Ambulance,61.0,40.0,,College,Minor Loss,18.0,1593.0,500.0,1284.0,Full,1.0,1.0,1.0,72.0,6000.0,3.0,0
Multi-vehicle Collision,Fire,31.0,15.0,1.0,Masters,Major Damage,16.0,110.0,1000.0,1074.0,Full,-0.0,3.0,1.0,87.0,60940.0,9.0,0
Multi-vehicle Collision,Ambulance,40.0,21.0,,Bachelor,Minor Loss,9.0,1841.0,2000.0,1084.0,Full,-0.0,3.0,1.0,61.0,8000.0,7.0,0
Multi-vehicle Collision,Ambulance,25.0,8.0,,Bachelor,Major Loss,22.0,1481.0,1000.0,1419.0,Full,1.0,3.0,0.0,9.0,3000.0,19.0,1
Single Vehicle Collision,Ambulance,46.0,27.0,0.0,Masters,Major Damage,18.0,185.0,1000.0,1141.0,Full,0.0,1.0,-0.0,296.0,54900.0,2.0,0
Single Vehicle Collision,,57.0,40.0,,High School,Total Loss,9.0,1510.0,1000.0,1032.0,Full,1.0,1.0,-0.0,77.0,8000.0,2.0,0
Multi-vehicle Collision,Police,51.0,30.0,,High School,Total Loss,11.0,1244.0,2000.0,1144.0,Full,-0.0,3.0,0.0,52.0,10000.0,16.0,0
Single Vehicle Collision,Ambulance,42.0,22.0,,High School,Minor Loss,9.0,1858.0,1000.0,947.0,Full,-0.0,1.0,1.0,113.0,9000.0,13.0,0
Multi-vehicle Collision,Police,48.0,27.0,1.0,JD,Major Damage,11.0,931.0,500.0,1516.0,Full,-0.0,4.0,0.0,310.0,59400.0,19.0,0
Vehicle Theft,Ambulance,44.0,27.0,,Bachelor,Major Loss,15.0,1809.0,500.0,1248.0,Full,1.0,1.0,-0.0,54.0,8000.0,15.0,0
Single Vehicle Collision,Ambulance,47.0,26.0,,Masters,Major Loss,11.0,1464.0,2000.0,1055.0,Full,1.0,1.0,1.0,40.0,3000.0,2.0,0
Multi-vehicle Collision,Fire,40.0,22.0,1.0,JD,Total Loss,18.0,976.0,500.0,1534.0,Full,0.0,2.0,0.0,240.0,66550.0,7.0,1
Single Vehicle Collision,Police,37.0,15.0,,MD,Major Loss,16.0,1670.0,500.0,1167.0,Full,1.0,1.0,0.0,32.0,8000.0,14.0,0
Multi-vehicle Collision,Police,51.0,33.0,,Masters,Minor Loss,23.0,1176.0,2000.0,1021.0,Full,-0.0,4.0,1.0,8.0,5000.0,9.0,1
Multi-vehicle Collision,Police,34.0,15.0,1.0,Masters,Minor Damage,4.0,998.0,500.0,1383.0,Full,2.0,3.0,1.0,130.0,67500.0,19.0,0
Multi-vehicle Collision,Ambulance,55.0,39.0,,High School,Minor Loss,8.0,1797.0,500.0,1200.0,Full,1.0,3.0,-0.0,42.0,8000.0,11.0,0
Multi-vehicle Collision,,64.0,46.0,,College,Major Loss,0.0,2534.0,2000.0,1069.0,Full,-0.0,3.0,0.0,16.0,10000.0,20.0,0
Single Vehicle Collision,Ambulance,25.0,6.0,1.0,JD,Major Damage,6.0,289.0,1000.0,1194.0,Full,1.0,1.0,1.0,88.0,66780.0,2.0,0
Single Vehicle Collision,Ambulance,62.0,44.0,,High School,Minor Loss,11.0,1347.0,1000.0,1151.0,Full,0.0,1.0,1.0,26.0,5000.0,17.0,0
Multi-vehicle Collision,Fire,42.0,22.0,-0.0,PhD,Total Loss,16.0,65.0,2000.0,1642.0,Full,-0.0,3.0,-0.0,295.0,59130.0,9.0,1
Multi-vehicle Collision,Fire,27.0,10.0,-0.0,College,Minor Damage,14.0,787.0,2000.0,1174.0,Full,-0.0,4.0,0.0,85.0,59070.0,3.0,0
Vehicle Theft,Ambulance,58.0,41.0,,High School,Total Loss,11.0,1369.0,500.0,1353.0,Full,0.0,1.0,-0.0,53.0,6000.0,3.0,0
Multi-vehicle Collision,Ambulance,26.0,10.0,,Bachelor,Major Loss,5.0,2129.0,2000.0,1074.0,Full,1.0,3.0,1.0,93.0,4000.0,16.0,0
Single Vehicle Collision,Ambulance,55.0,37.0,,High School,Total Loss,2.0,2150.0,500.0,1450.0,Full,1.0,1.0,1.0,30.0,9000.0,2.0,0
Parked Car,Police,37.0,21.0,,College,Total Loss,7.0,1528.0,1000.0,1519.0,Full,0.0,1.0,0.0,57.0,2000.0,17.0,0
Multi-vehicle Collision,Ambulance,37.0,16.0,1.0,Masters,Major Damage,11.0,846.0,2000.0,1375.0,Full,-0.0,3.0,-0.0,147.0,56160.0,-0.0,0
Single Vehicle Collision,Fire,34.0,13.0,0.0,High School,Minor Damage,13.0,294.0,1000.0,1276.0,Full,2.0,1.0,-0.0,147.0,101010.0,17.0,0
Multi-vehicle Collision,Police,41.0,21.0,,Bachelor,Major Loss,18.0,2038.0,2000.0,939.0,Full,1.0,4.0,1.0,13.0,7000.0,0.0,0
Single Vehicle Collision,Ambulance,25.0,6.0,1.0,JD,Major Damage,6.0,289.0,1000.0,1194.0,Full,1.0,1.0,1.0,88.0,66780.0,2.0,0
Single Vehicle Collision,Other,41.0,20.0,0.0,PhD,Minor Damage,4.0,278.0,500.0,1411.0,Full,1.0,1.0,0.0,264.0,60390.0,11.0,1
Multi-vehicle Collision,Ambulance,60.0,39.0,,MD,Major Loss,19.0,1781.0,1000.0,1213.0,Full,1.0,3.0,-0.0,19.0,6000.0,18.0,0
Parked Car,Ambulance,52.0,30.0,,Bachelor,Major Loss,15.0,2509.0,2000.0,1482.0,Full,0.0,1.0,1.0,70.0,4000.0,8.0,0
Single Vehicle Collision,Other,46.0,26.0,-0.0,PhD,Minor Damage,19.0,496.0,1000.0,871.0,Full,0.0,1.0,-0.0,261.0,80280.0,2.0,0
Single Vehicle Collision,Fire,43.0,21.0,1.0,Associate,Minor Damage,20.0,659.0,1000.0,671.0,Full,2.0,1.0,0.0,303.0,60210.0,2.0,0
Multi-vehicle Collision,Other,56.0,38.0,,High School,Major Loss,6.0,2422.0,500.0,1623.0,Full,1.0,3.0,1.0,86.0,10000.0,1.0,1
Single Vehicle Collision,Police,34.0,13.0,1.0,High School,Major Damage,10.0,530.0,2000.0,1586.0,Full,1.0,1.0,-0.0,15.0,75570.0,5.0,0
Single Vehicle Collision,Other,49.0,30.0,,High School,Total Loss,7.0,2354.0,500.0,1152.0,Full,1.0,1.0,1.0,46.0,3000.0,15.0,0
Multi-vehicle Collision,Ambulance,60.0,40.0,,College,Total Loss,15.0,2062.0,500.0,1176.0,Full,1.0,3.0,1.0,9.0,1000.0,-0.0,1
Vehicle Theft,,24.0,8.0,1.0,PhD,Trivial Damage,6.0,838.0,2000.0,1304.0,Full,-0.0,1.0,1.0,9.0,5940.0,14.0,0
Single Vehicle Collision,Ambulance,27.0,5.0,,MD,Minor Loss,13.0,1561.0,500.0,995.0,Full,1.0,1.0,1.0,69.0,7000.0,16.0,0
Single Vehicle Collision,Police,27.0,10.0,,High School,Minor Loss,20.0,2096.0,500.0,1205.0,Full,1.0,1.0,0.0,26.0,6000.0,2.0,0
Single Vehicle Collision,Other,50.0,30.0,1.0,PhD,Minor Damage,4.0,566.0,2000.0,1109.0,Full,2.0,1.0,1.0,392.0,108030.0,13.0,0
Single Vehicle Collision,Ambulance,25.0,6.0,1.0,JD,Major Damage,6.0,289.0,1000.0,1194.0,Full,1.0,1.0,1.0,88.0,66780.0,2.0,0
Multi-vehicle Collision,Police,52.0,30.0,,Bachelor,Minor Loss,23.0,1098.0,2000.0,885.0,Full,1.0,3.0,1.0,67.0,1000.0,2.0,0
Multi-vehicle Collision,Ambulance,48.0,31.0,,High School,Major Loss,19.0,1372.0,1000.0,1169.0,Full,1.0,4.0,1.0,6.0,3000.0,6.0,0
Single Vehicle Collision,,61.0,45.0,,Bachelor,Major Loss,18.0,1195.0,2000.0,1190.0,Full,1.0,1.0,1.0,31.0,8000.0,10.0,0
Multi-vehicle Collision,Ambulance,61.0,45.0,,MD,Total Loss,13.0,1080.0,1000.0,913.0,Full,1.0,3.0,1.0,42.0,2000.0,4.0,1
Single Vehicle Collision,,29.0,12.0,,High School,Major Loss,23.0,2337.0,500.0,1491.0,Full,1.0,1.0,0.0,8.0,7000.0,10.0,0
Single Vehicle Collision,Fire,31.0,10.0,0.0,Masters,Total Loss,14.0,441.0,2000.0,1176.0,Full,-0.0,1.0,0.0,108.0,57330.0,9.0,0
Single Vehicle Collision,Ambulance,56.0,38.0,0.0,Associate,Minor Damage,-0.0,347.0,1000.0,1128.0,Full,2.0,1.0,1.0,429.0,39480.0,13.0,0
Multi-vehicle Collision,Ambulance,63.0,42.0,,High School,Minor Loss,20.0,2132.0,1000.0,1386.0,Full,1.0,3.0,-0.0,99.0,10000.0,6.0,0
Single Vehicle Collision,,37.0,19.0,,High School,Minor Loss,15.0,1678.0,500.0,1310.0,Full,1.0,1.0,1.0,71.0,7000.0,5.0,0
Single Vehicle Collision,Police,53.0,32.0,,College,Total Loss,3.0,2109.0,500.0,1632.0,Full,1.0,1.0,1.0,38.0,7000.0,6.0,0
